@relation german-weka.filters.unsupervised.instance.Randomize-S9-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute class {p,m}

@data
0.307117,0.069849,-0.136708,0.005707,-0.224766,-0.189978,-0.312553,0.249499,0.505521,-0.082623,0.03805,0.166061,-0.204111,0.125293,0.036419,0.279939,-0.375064,-0.116324,-0.223679,-0.05327,p
0.286287,-0.314155,-0.127436,-0.026095,-0.104381,-0.177092,0.129209,-0.220415,0.471233,-0.077019,-0.194067,-0.326823,-0.145677,0.116795,-0.443364,-0.178612,0.037243,-0.108434,-0.208508,-0.049657,p
0.252491,-0.164901,0.299415,-0.028601,-0.105689,-0.156187,0.299415,0.205121,0.100326,-0.067927,0.234616,-0.288242,0.146356,0.103008,0.029941,0.616705,0.032846,-0.095634,0.270367,-0.043795,p
0.246893,0.491602,-0.1099,-0.022504,0.537484,0.399836,0.11143,0.200573,0.098102,-0.066421,0.030589,0.133497,0.027967,-0.209095,0.029278,-0.154035,0.032118,-0.093514,0.264372,-0.042824,p
-0.134892,0.661235,-0.420251,0.013519,0.030564,-0.019543,0.14988,0.269784,0.131953,-0.08934,-0.225114,0.179562,-0.143414,0.13548,0.03938,-0.207187,0.043201,-0.125782,-0.241865,-0.057601,p
-0.417934,0.085927,-0.168177,-0.034438,-0.235715,-0.022234,-0.106322,0.306931,-0.321976,-0.101642,-0.25611,0.204286,-0.104316,0.154134,0.044803,-0.235715,-0.461399,-0.143101,-0.275168,-0.065532,m
-0.29978,0.29978,0.321365,-0.036693,0.539605,-0.167637,0.12231,0.220159,0.107681,-0.072907,0.251816,0.146533,-0.242223,0.110559,0.032136,0.247019,0.035254,-0.102645,0.290187,-0.047006,m
-0.121189,-0.194853,-0.132806,0.012145,-0.227328,-0.017558,0.134654,-0.229705,-0.254259,-0.080265,0.27723,-0.340596,-0.290431,0.121717,-0.462049,-0.18614,-0.364359,-0.113004,-0.217295,-0.05175,p
-0.401927,-0.237298,-0.161736,-0.057234,-0.286172,-0.224758,0.163986,0.295175,0.144372,-0.097749,-0.246301,-0.414789,-0.269774,0.148231,0.043087,-0.226687,0.047267,-0.13762,-0.264629,-0.063022,m
-0.329879,-0.019793,0.353631,-0.03378,0.093686,-0.184469,0.353631,-0.46447,-0.254139,-0.080227,0.277099,-0.089991,-0.266543,0.12166,0.035363,0.271821,0.038794,-0.112951,-0.217193,-0.051725,p
0.33665,0.076566,0.399214,-0.030686,-0.061967,-0.208247,-0.094739,0.273491,0.133766,-0.090568,-0.228207,-0.384318,-0.0143,0.137341,0.039921,0.306858,-0.41113,-0.12751,-0.245189,-0.058392,p
-0.369606,-0.144885,-0.148729,0.013601,-0.258133,-0.206684,-0.094028,0.271438,-0.284744,-0.089888,0.310469,-0.100828,-0.351865,0.136311,0.039622,-0.208458,-0.408045,-0.126553,-0.243348,-0.057954,p
-0.120032,0.326885,-0.131539,-0.040011,0.339961,-0.182794,-0.08316,-0.227512,0.117417,-0.079498,-0.200315,0.159781,-0.012552,0.120555,-0.457639,-0.184363,0.439334,-0.111925,0.316425,-0.051256,p
0.215529,0.238416,0.255582,-0.029182,0.48637,0.349042,0.255582,-0.165938,0.085639,-0.057983,0.20027,0.297544,0.108146,0.087928,0.385281,0.196455,0.028038,-0.081634,-0.156973,-0.037384,p
0.258259,-0.168669,-0.11496,-0.040682,0.020706,0.418243,-0.26283,-0.198837,0.102618,-0.069479,0.031997,-0.077935,0.189924,0.105361,0.030625,-0.161126,0.383961,0.532517,0.276543,-0.044795,p
0.266933,0.060709,0.099214,0.010866,0.448825,-0.16512,-0.271657,-0.205515,0.106064,-0.071812,-0.180947,0.144333,-0.177404,-0.55985,0.031654,0.24331,0.034725,-0.101104,0.285831,-0.0463,m
0.076693,-0.055009,-0.3264,-0.02351,-0.147679,0.417701,0.116408,0.209535,0.102485,-0.069389,0.239664,0.139462,0.269337,-0.540957,0.030586,-0.160918,-0.314988,-0.097692,-0.187851,-0.044737,p
-0.279747,0.057516,-0.11257,-0.023051,-0.101828,-0.156434,-0.071168,-0.194704,0.100485,-0.068034,0.234987,-0.288699,-0.286461,0.103171,-0.391646,-0.157777,-0.308841,0.521448,-0.184185,-0.043864,m
0.244183,0.055535,-0.108694,-0.033062,0.165526,0.395446,-0.425699,-0.187999,-0.208095,-0.065692,0.226895,-0.073687,-0.1813,0.099618,-0.378159,-0.152344,0.363033,-0.092487,0.26147,-0.042354,p
-0.28839,-0.227713,0.309154,-0.041067,-0.038529,-0.161268,-0.073366,-0.200719,0.10359,-0.070136,-0.176725,-0.297618,0.009205,0.106358,-0.403746,0.237633,0.033915,0.537559,-0.189876,-0.04522,p
-0.212778,0.128348,-0.400023,-0.021788,0.079153,-0.118986,-0.054131,-0.148094,-0.40513,0.660463,-0.13039,-0.219587,-0.053109,0.078473,0.02281,0.175329,0.025023,-0.072855,-0.140093,-0.033364,p
0.234819,0.467559,0.278458,-0.031794,-0.038236,0.380282,0.278458,0.190764,0.093304,-0.063172,0.029093,0.126968,0.044886,0.095798,0.027846,0.214038,0.030547,0.484184,0.251443,-0.04073,p
-0.305207,-0.058844,-0.122815,-0.025149,-0.166521,-0.170672,-0.077645,0.224144,0.454147,-0.074226,0.034183,-0.314973,-0.204855,-0.578672,0.032718,-0.172137,0.035892,-0.104503,-0.200948,-0.047856,m
0.276013,0.001954,-0.122862,-0.037372,-0.068881,0.446995,0.327308,0.22423,0.109672,-0.074255,0.256472,-0.315095,0.224474,0.112604,0.032731,-0.172203,0.410356,-0.104543,0.295554,-0.047875,p
-0.283701,0.001816,0.304127,-0.040399,-0.217201,-0.158646,0.304127,0.20835,0.101905,-0.068996,0.238309,-0.292779,0.587828,0.104629,0.030413,0.23377,0.033363,-0.097139,-0.186789,-0.044484,p
0.234566,-0.101715,-0.104413,-0.021381,0.021796,-0.145099,0.278158,0.190559,-0.1999,-0.063105,-0.159007,0.126832,0.336281,-0.491966,-0.363266,-0.146344,0.348736,-0.088845,0.251173,-0.040686,p
0.306968,0.475392,0.364015,-0.034772,0.074161,0.153755,-0.086386,0.249377,0.121972,-0.082582,0.285235,-0.350432,0.010839,0.125232,0.036401,0.279802,0.039933,-0.116267,0.3287,-0.053244,p
0.329561,0.074953,-0.146698,-0.037331,0.072328,-0.203861,0.14874,-0.253733,-0.280856,-0.088661,0.306229,-0.099452,-0.270357,0.134449,-0.510382,-0.205611,0.042872,-0.124825,0.352893,-0.057163,p
0.339489,0.226526,0.402579,-0.030945,0.266183,-0.210002,0.153221,0.275797,-0.289316,-0.091331,-0.230131,0.183564,-0.278501,0.138499,0.040258,0.309445,0.044164,-0.128585,-0.247256,-0.058885,p
-0.120578,-0.06331,0.352014,-0.033625,0.28634,-0.183625,0.352014,-0.228546,0.117951,-0.07986,-0.438704,0.409807,0.125832,0.121103,0.035201,-0.185201,0.038616,-0.112434,0.317863,-0.051489,p
-0.328711,-0.194071,-0.132273,-0.027086,-0.148315,0.14884,0.352378,0.006338,0.489122,-0.079943,-0.439158,-0.33923,-0.012623,0.121229,0.035238,-0.185393,0.038656,-0.112551,-0.216423,-0.051542,p
-0.399212,0.002555,-0.160643,-0.032895,-0.162559,-0.223239,-0.101559,0.007697,-0.307553,-0.097088,-0.244637,-0.411987,-0.296055,0.147229,0.042796,0.328951,0.046947,-0.13669,0.386437,-0.062596,m
-0.249101,-0.247108,0.267036,-0.020526,-0.148464,0.364684,0.267036,0.18294,0.089477,-0.060581,0.209245,-0.257072,0.552008,0.091868,0.026704,0.205259,0.029294,-0.085292,0.24113,-0.039059,p
0.244559,-0.302994,0.290009,-0.022292,-0.135482,-0.151281,0.110376,-0.188289,0.097175,-0.065793,-0.361429,-0.279187,0.122713,0.099772,0.029001,0.222917,-0.298666,0.504269,-0.178117,-0.042419,p
-0.421201,-0.248677,-0.169491,-0.043131,-0.192742,-0.235536,-0.107154,-0.293156,0.151295,-0.102436,-0.258112,-0.43468,-0.253058,0.155339,0.045153,-0.237557,0.049533,-0.144219,-0.277319,-0.066044,p
-0.126798,-0.203871,-0.138952,-0.028453,-0.166853,-0.193097,-0.087847,-0.486195,-0.266026,-0.083979,-0.461333,0.168787,-0.328734,0.12735,0.037017,-0.194754,0.040608,-0.118234,0.334259,-0.054144,p
-0.286685,-0.150223,0.307326,0.01055,-0.11972,-0.160314,-0.26375,0.005527,0.102977,-0.069722,-0.383011,-0.078208,-0.152058,-0.543554,0.030733,0.236228,-0.3165,-0.098161,-0.188753,-0.044952,p
-0.236403,0.048604,0.253423,-0.028936,0.211817,-0.132196,0.253423,-0.164536,-0.182124,-0.057493,0.198578,0.29503,0.140518,0.087185,0.382026,0.194796,0.317725,0.440654,0.228838,-0.037068,p
0.299575,-0.063892,0.111346,-0.027306,-0.089342,-0.185312,-0.522267,-0.230646,0.493105,-0.080594,0.037115,-0.341992,-0.036055,0.122216,0.035525,0.273064,0.038971,-0.113467,-0.218186,-0.051962,p
0.107931,0.024547,0.127989,0.864403,0.103155,-0.066764,-0.188163,0.087682,0.042886,0.17097,-0.073164,0.149002,-0.071731,-0.226369,0.012799,0.09838,0.160464,-0.04088,0.115572,-0.018721,p
-0.284198,0.058431,-0.114361,-0.029102,-0.073437,-0.015119,-0.447896,-0.400151,-0.541113,-0.069117,-0.379689,-0.077529,-0.050928,0.104812,0.030466,-0.160288,0.033422,-0.097309,-0.187116,-0.044562,m
0.315304,-0.067246,0.3739,-0.049667,-0.172161,-0.195042,-0.088731,0.006725,0.125284,-0.084825,-0.213737,-0.095149,-0.087057,-0.661301,0.03739,0.287401,0.041017,-0.119425,-0.229642,-0.05469,m
0.350591,0.182742,0.415745,-0.031957,-0.058018,-0.21687,0.415745,0.284816,0.139306,-0.094318,-0.237657,0.189567,-0.178398,0.143029,0.041575,0.319565,0.045608,-0.13279,-0.255342,-0.06081,p
0.230481,0.15379,0.273314,-0.031207,0.312068,0.373257,0.273314,-0.35898,0.091581,-0.062006,0.214164,0.124623,0.491558,0.094028,0.027331,0.210085,0.029983,-0.087297,-0.167864,-0.039977,p
-0.312527,0.064256,-0.125761,-0.044504,-0.168265,0.45754,-0.079507,0.22952,-0.240771,-0.076007,0.262523,-0.322528,-0.23177,0.11526,-0.437538,-0.176265,0.036753,-0.107009,-0.205768,-0.049004,m
0.360696,0.082034,-0.160558,-0.032878,-0.210034,-0.223121,-0.101506,0.293026,0.593712,-0.097037,-0.244507,-0.108847,-0.21163,0.147151,0.042773,-0.225036,0.046922,-0.136618,-0.262702,-0.062563,p
-0.100225,-0.052623,0.292595,0.010044,-0.106994,0.399588,-0.069437,0.200449,0.406139,-0.06638,0.229272,-0.281677,-0.144769,-0.517499,0.029259,0.224905,0.032098,-0.093456,-0.179705,-0.042797,p
-0.394731,0.081157,-0.15884,-0.05621,-0.211576,0.577887,-0.10042,0.289891,-0.304101,-0.095999,-0.241891,-0.107683,-0.015158,0.145577,0.042315,-0.222628,0.04642,-0.135156,-0.259891,-0.061894,m
0.095399,-0.209537,-0.142814,-0.029244,-0.139975,-0.198464,-0.090288,-0.247015,-0.27342,-0.086313,-0.217487,0.173478,0.210956,0.130889,-0.496869,-0.200167,-0.391816,-0.12152,0.343549,-0.055649,p
0.498439,0.113362,0.185261,-0.05646,0.137622,-0.029333,-0.140269,-0.383754,0.198052,-0.134093,0.061754,-0.150414,-0.021173,0.203345,0.059107,0.454329,0.064841,-0.188789,-0.363022,-0.086455,p
0.266306,0.060567,-0.118541,-0.024274,0.223178,0.431274,-0.271019,-0.414777,-0.226949,-0.071643,-0.393567,0.143994,0.175102,0.108643,0.03158,0.242739,0.034643,-0.100866,0.285159,-0.046191,m
-0.339064,0.610314,-0.136439,-0.027939,0.336351,-0.189604,-0.086258,0.006537,-0.261215,-0.08246,-0.207778,0.165734,-0.1085,0.125047,0.036348,-0.191232,0.039874,-0.116095,0.328214,-0.053165,m
-0.144602,0.080964,0.132315,-0.032449,-0.191857,-0.02095,0.160669,0.007592,-0.30338,-0.095771,-0.241318,-0.107427,-0.34654,0.145232,-0.551314,0.324488,0.04631,-0.134836,0.381194,-0.061747,p
-0.297736,-0.175783,0.319173,-0.042398,0.132671,-0.166494,0.319173,0.00574,0.106947,0.426357,0.250098,-0.081222,0.156013,0.109805,-0.41683,0.245334,0.035014,-0.101945,0.288208,-0.046685,m
-0.090745,-0.129494,-0.099443,-0.020363,-0.082046,-0.138193,-0.227356,-0.171999,-0.190386,0.767078,0.207586,-0.067416,-0.217471,0.09114,0.026492,-0.139379,-0.272827,-0.084616,-0.162708,-0.038749,p
-0.176651,-0.092751,-0.193585,-0.068505,0.353687,-0.025593,-0.122386,-0.334829,0.172802,-0.116998,-0.294803,0.23515,-0.187812,0.177421,0.051571,0.396406,0.056575,-0.16472,0.465681,-0.075433,p
0.260789,0.288483,-0.116086,-0.03531,0.396953,-0.16132,-0.07339,-0.406185,-0.222248,-0.070159,-0.176783,-0.078698,-0.112624,-0.546965,0.030925,-0.162705,0.033926,-0.098777,-0.189937,-0.045234,p
0.278678,-0.120843,0.103579,-0.025402,-0.156602,-0.172386,-0.078424,0.226395,0.458709,-0.074972,0.034526,-0.318137,-0.055242,-0.584484,0.033047,0.254016,0.036253,-0.105552,-0.202966,-0.048337,p
-0.107605,0.060249,0.31414,-0.035868,0.372749,0.28132,0.31414,-0.203957,-0.225759,-0.071268,0.246155,0.365716,-0.134799,0.108074,-0.410258,-0.165275,0.034462,-0.100337,-0.192938,-0.045949,p
0.341798,0.077736,-0.152145,-0.046279,0.486986,-0.211431,0.154263,0.00729,0.135812,-0.091953,0.042347,0.184813,0.065335,0.139441,0.040532,-0.213246,0.50816,-0.12946,0.365996,-0.059285,p
-0.076273,0.538399,-0.083585,-0.029579,0.633117,-0.116155,0.084748,0.152546,0.074611,-0.050516,-0.127288,0.259229,-0.124795,0.076605,0.022267,-0.117152,0.27917,-0.071122,0.201069,-0.03257,m
-0.260423,-0.05021,-0.297924,-0.037084,-0.135003,-0.145629,0.106253,0.191255,0.093544,-0.063335,0.218756,0.325008,-0.065002,0.096044,0.420844,0.214589,-0.287507,0.485429,-0.171463,-0.040834,m
0.265285,-0.212228,0.314586,-0.03005,-0.093671,-0.164101,-0.26998,-0.413187,-0.226079,-0.071369,0.032867,-0.302847,-0.258242,0.108227,-0.410839,0.241808,0.034511,-0.10048,-0.193212,-0.046014,p
-0.112325,0.305896,-0.123093,-0.025206,0.132147,-0.171057,-0.281425,0.22465,-0.235663,-0.074394,-0.408678,0.381759,-0.119422,0.112815,0.032792,-0.172526,0.411125,-0.104739,0.296108,-0.047965,p
-0.220423,0.132959,-0.088698,-0.009522,0.544887,-0.123261,-0.20279,-0.310356,-0.419686,-0.053607,-0.294486,0.275088,-0.023982,0.081292,0.023629,-0.124319,-0.243347,-0.075473,0.21337,-0.034562,m
-0.27802,-0.164143,-0.318055,-0.022909,-0.208404,-0.155469,-0.070728,0.204178,-0.214186,-0.067614,0.233537,-0.286916,-0.22464,-0.527125,0.029804,-0.156803,-0.306934,-0.095194,-0.183048,-0.043593,m
-0.289173,-0.28686,0.309993,-0.041178,-0.197563,-0.161706,0.309993,-0.407156,-0.222779,-0.070327,0.242905,0.360888,0.070327,0.106647,0.030999,0.238279,0.034007,-0.099013,0.279919,-0.045342,p
0.257531,-0.2826,0.30539,-0.023474,-0.123523,-0.159304,0.30539,-0.198276,0.4239,-0.069283,-0.174574,-0.293995,-0.111217,0.105063,-0.39883,0.23474,0.033502,-0.097543,-0.187564,-0.044669,p
0.070805,-0.155519,-0.301344,0.009694,-0.198719,-0.1473,-0.24234,0.19345,-0.202933,-0.064062,-0.351919,-0.271842,-0.176803,0.097147,0.028238,-0.148565,-0.613225,-0.090193,-0.173431,-0.041303,m
-0.12739,0.346922,-0.139601,-0.008049,0.043296,0.507894,-0.088257,-0.241458,0.51622,-0.084371,-0.212594,0.169576,-0.208431,0.127945,0.03719,-0.195664,0.040798,-0.118786,-0.228414,-0.054397,p
0.104237,-0.152012,-0.156045,-0.031954,-0.103927,-0.21685,-0.356763,-0.269899,-0.29875,-0.09431,0.043432,-0.400195,-0.287582,0.143015,0.041571,-0.218711,-0.428116,-0.132778,-0.255318,-0.060805,m
0.354797,-0.075669,0.420732,-0.055888,-0.249614,-0.219472,-0.099845,0.288233,-0.302362,-0.09545,0.043957,-0.405033,0.012528,0.144744,0.042073,0.323399,0.046155,-0.134383,-0.258405,-0.06154,p
0.324427,0.35888,-0.144413,-0.051104,-0.019552,0.5254,-0.091299,0.263561,0.12891,-0.08728,0.301459,-0.370364,0.011455,0.132355,0.038472,-0.202408,0.042204,-0.12288,-0.236286,-0.056272,p
-0.193626,0.039809,-0.077915,-0.019827,-0.083646,-0.108275,-0.178136,0.142199,0.06955,0.277272,-0.258684,-0.052821,-0.15645,0.071409,0.020757,-0.109205,-0.213763,-0.066297,-0.127483,0.789993,p
0.213975,-0.265102,0.25374,-0.019504,-0.115887,-0.132361,0.096573,-0.164742,0.085022,-0.057565,-0.316228,-0.244272,0.107366,0.087294,0.025374,0.522629,-0.261315,0.441205,-0.155842,-0.037114,p
-0.324974,0.00208,-0.13077,-0.026778,0.007903,0.311975,-0.298976,0.238661,-0.25036,-0.079034,-0.199144,0.158847,-0.149488,-0.616151,0.034837,-0.183286,0.038217,-0.111271,-0.213963,-0.050956,p
-0.102914,-0.054035,-0.112779,-0.006502,-0.161434,0.41031,-0.0713,0.205828,0.100672,-0.068161,0.235424,0.349773,0.502238,0.103362,0.452911,-0.15807,0.032959,-0.095963,-0.184527,-0.043946,p
0.341014,0.077558,0.404389,-0.038628,0.200987,-0.210946,0.404389,0.277036,0.1355,-0.091742,0.316872,0.184389,-0.067599,0.139122,0.040439,-0.212757,0.044362,-0.129163,0.365157,-0.059149,p
0.348983,-0.074429,0.12971,0.014206,-0.120445,-0.215875,-0.098209,0.28351,0.574432,-0.093886,-0.236567,0.188698,-0.204757,0.142373,0.041384,-0.217728,0.045399,-0.132181,0.37369,-0.060532,m
-0.145783,0.081626,-0.159758,-0.048594,0.094648,0.179767,-0.365252,0.007654,-0.305858,-0.096553,0.333491,0.19406,-0.210575,0.146418,-0.555818,-0.223915,0.046689,-0.135937,-0.261393,-0.062252,m
0.261155,-0.17056,0.309689,-0.029582,0.207075,0.422933,0.309689,-0.201066,0.103769,-0.070258,0.242666,-0.078809,0.272711,0.106542,-0.404444,-0.162933,0.033973,-0.098915,0.279644,-0.045298,p
0.303291,0.335499,-0.630738,-0.014494,-0.062537,-0.187611,-0.085351,0.24639,0.120511,-0.081593,-0.205594,0.163992,-0.201568,0.123732,0.035965,0.276451,0.039455,-0.114875,-0.220892,-0.052606,p
-0.28179,0.169976,0.302079,-0.034491,0.232195,-0.014991,0.11497,-0.39676,0.419304,-0.068531,0.236704,0.137739,-0.227686,0.103924,-0.394506,0.232195,0.033139,-0.096485,-0.185531,-0.044185,p
0.31967,0.353618,-0.142296,-0.029138,-0.08798,0.517696,-0.08996,0.259697,-0.272427,-0.086,0.297039,0.172848,-0.262243,0.130414,0.037908,-0.19944,0.041585,-0.121079,-0.232822,-0.055447,p
0.101762,-0.223513,-0.15234,-0.031195,-0.027379,-0.211701,-0.096311,0.007299,0.563326,-0.09207,-0.505782,0.185049,-0.305892,0.13962,0.040584,-0.213519,0.044521,-0.129625,-0.249256,-0.059361,p
-0.310504,0.06384,-0.124947,-0.044216,-0.174876,0.454577,0.126686,0.228034,-0.239212,-0.075515,0.260823,0.387509,-0.077502,0.114514,-0.434705,-0.175124,0.036515,-0.106316,-0.204436,-0.048687,m
0.314164,0.071451,0.116769,0.012789,-0.088411,0.15736,-0.088411,0.255223,0.124831,-0.084518,-0.212964,0.169871,0.20657,0.128168,0.037255,0.286362,0.040869,0.647789,0.336405,-0.054492,p
-0.109794,-0.296612,0.100465,-0.030618,-0.188253,-0.167203,-0.47123,0.219589,0.107402,-0.072718,-0.399469,-0.081568,-0.011482,-0.228917,0.032053,0.246379,0.401861,-0.102379,0.289436,-0.046884,p
