@relation segment1-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute Class {m,p}

@data
0.897229,0.037484,0,0,0.036121,0.000493,0.018639,0.000543,0.8714,0.831451,0.931545,0.84488,0.279846,0.625883,0.345354,0.93153,0.188881,0.116873,m
0.818161,0.09583,0,0,0.058934,0.001746,0.009945,0.000365,0.100681,0.078602,0.139189,0.081067,0.649259,0.340006,0.430736,0.139159,0.479954,0.148031,p
0.770755,0.624991,0,0,0.095055,0.005585,0.263355,0.067795,0.292516,0.266622,0.339478,0.267333,0.561559,0.425883,0.381416,0.340217,0.282123,0.110128,m
0.608697,0.483318,0,0,0.074145,0.001723,0.344102,0.002991,0.254564,0.261767,0.271744,0.229146,0.802233,0.274127,0.381416,0.271719,0.204543,0.22957,p
0.071167,0.566645,0,0,0.007601,0.000072,0.01118,0.000059,0.028903,0.028364,0.044194,0.013265,0.820885,0.211771,0.46301,0.046396,0.713242,0.263322,m
0.280631,0.416661,0,0,0.017105,0.000303,0.021125,0.00101,0.009022,0,0.023568,0.002347,0.768662,0.203523,0.529414,0.023554,1,0.151896,m
0.233196,0.499988,0,0,0.011406,0.00009,0.007459,0.000064,0.036408,0.052691,0.036088,0.021045,0.934707,0.138825,0.464904,0.047847,0.581347,0.406761,m
0.00793,0.395823,0,0,0.007601,0.000172,0.002486,0.000127,0.003859,0,0.011049,0,0.805967,0.167071,0.550286,0.011037,1,0.159446,m
0.371551,0.499988,0,0,0.019007,0.000163,0.029819,0.000513,0.03718,0.050263,0.040502,0.021045,0.91232,0.156481,0.459203,0.047847,0.592808,0.368235,m
0.415035,0.758329,0,0,0.036121,0.000959,0.019882,0.00045,0.100681,0.085092,0.083225,0.134075,0.694033,0.071765,0.817834,0.126643,0.388858,0.882089,p
0.126503,0.545831,0,0,0.003796,0.000032,0.002486,0.000021,0.00024,0,0.00075,0,0.832089,0.134121,0.576859,0.00074,0.111119,0.159446,m
0.086969,0.866662,0,0,0.051323,0.001013,0.038512,0.00067,0.093203,0.079419,0.079533,0.12081,0.708951,0.08824,0.77609,0.114126,0.371918,0.88969,p
0.003951,0.216665,0,0,0.04182,0.000565,0.03354,0.000505,0.125991,0.12562,0.156844,0.093541,0.791049,0.309419,0.335865,0.156853,0.435023,0.228376,m
0.335967,0.262485,0.333329,0,0.045625,0.001569,0.014909,0.000098,0.156198,0.158021,0.191461,0.116907,0.796631,0.337644,0.284632,0.191443,0.422215,0.234629,m
0.403155,0.724989,0,0,0.06273,0.004694,0.221122,0.06847,0.215335,0.202612,0.245233,0.195628,0.677247,0.325894,0.425054,0.248905,0.250434,0.099673,m
0.513827,0.820819,0,0,0.047528,0.000421,0.013666,0.000174,0.112817,0.093193,0.099409,0.145758,0.66231,0.094125,0.814046,0.137708,0.383174,0.912624,p
0.245076,0.791646,0,0,0.072243,0.00175,0.055908,0.001196,0.429632,0.400317,0.506649,0.375695,0.494398,0.602362,0.165082,0.506628,0.299224,0.169564,m
0.699588,0.512491,0,0,0.003796,0.000172,0.004972,0.000199,0.012908,0.007308,0.02579,0.004694,0.791049,0.196477,0.518031,0.025772,0.833333,0.175686,p
0.035583,0.345836,0,0,0.015202,0.000118,0.016152,0.000144,0.015729,0.000818,0.039781,0.004694,0.725736,0.250585,0.497159,0.039768,0.986119,0.143465,m
0,0.291658,0,0,0.416351,0.269689,0.206212,0.148135,0.14872,0.102111,0.20251,0.136396,0.464543,0.424702,0.481969,0.202509,0.595274,0.101697,m
0.102771,0.237479,0,0,0.047528,0.001497,0.039756,0.003678,0.15053,0.149103,0.188519,0.111474,0.776112,0.349415,0.286526,0.188513,0.440365,0.225601,m
0.81026,0.19166,0,0,0.036121,0.000199,0.019882,0.000246,0.852824,0.811979,0.921217,0.818402,0.279846,0.661175,0.28842,0.921204,0.198927,0.125409,m
0.478272,0,0,0,0.034219,0.000312,0.064602,0.003644,1,0.998365,1,1,0.503734,0.368231,0.533222,1,0.092763,0.087739,m
0.407105,0.520826,0,0,0.017105,0.000122,0.014909,0.000064,0.047506,0.060791,0.053022,0.028851,0.910452,0.169412,0.440225,0.057433,0.526233,0.349245,m
0.169959,0.629159,0,0,0.030414,0.000457,0.043485,0.00098,0.170916,0.142638,0.159815,0.209658,0.583946,0.118827,0.853896,0.198071,0.347032,0.940409,p
0.162058,0.216665,0.333329,0,0.051323,0.001108,0.043485,0.001778,0.155932,0.148311,0.196625,0.120045,0.731338,0.363527,0.309292,0.196621,0.422648,0.206558,m
0.249027,0.770832,0,0,0.09125,0.002397,0.077025,0.001642,0.347794,0.323351,0.407241,0.307867,0.55411,0.498829,0.271355,0.407208,0.29,0.164583,m
0.897229,0.037484,0,0,0.036121,0.000493,0.018639,0.000543,0.8714,0.831451,0.931545,0.84488,0.279846,0.625883,0.345354,0.93153,0.188881,0.116873,m
0.181839,0.824986,0,0,0.058934,0.001298,0.031062,0.00067,0.081067,0.069709,0.061128,0.11303,0.729471,0.05529,0.808365,0.106759,0.464338,0.857054,p
0.533608,0.274987,0.666671,0,0.064632,0.00151,0.068323,0.004056,0.18409,0.179103,0.228299,0.141855,0.740674,0.387069,0.261866,0.228281,0.413219,0.214108,m
0.407105,0.491653,0,0,0.659697,0.029149,0.024846,0.000793,0.264119,0.241504,0.314438,0.232284,0.593282,0.435292,0.333971,0.314417,0.320616,0.158875,p
0.81026,0.220833,0,0,0.001893,0.000136,0.006216,0.000098,0.039762,0.026754,0.068484,0.021836,0.731338,0.278831,0.445926,0.06847,0.697991,0.172703,p
0.948614,0.329166,0,0.500005,0.193915,0.023574,0.151556,0.045994,0.06273,0.034855,0.103851,0.045993,0.62127,0.343529,0.453521,0.103829,0.762922,0.130571,m
0.142305,0.27082,0,0,0.060836,0.000927,0.040999,0.001307,0.057566,0.027572,0.08836,0.053798,0.6082,0.292944,0.548392,0.088354,0.723014,0.087973,m
0.083019,0.316663,0,0,0.064632,0.001271,0.026089,0.00045,0.446426,0.406807,0.53241,0.392837,0.417902,0.649425,0.166995,0.5324,0.309703,0.157656,p
0.897229,0.749994,0,0,0.04943,0.000624,0.052179,0.000861,0.343136,0.320923,0.401327,0.302408,0.570895,0.491763,0.265654,0.40132,0.289589,0.1685,m
0.628449,0.733324,0.333329,0,0.089347,0.001954,0.114286,0.002554,0.344946,0.325778,0.403548,0.300852,0.591415,0.494125,0.240994,0.403539,0.297352,0.17688,m
0.920932,0.46248,0,0,0.058934,0.007905,0.031062,0.005464,0.015729,0.004063,0.034617,0.007015,0.748143,0.225883,0.514243,0.034591,0.96032,0.146215,m
0.557311,0.420828,0,0,0.036121,0.000493,0.012423,0.00025,0.201123,0.179103,0.240069,0.180833,0.617536,0.36589,0.421247,0.240058,0.321758,0.141701,p
0.359699,0.324998,0,0,0.068437,0.001275,0.027332,0.000691,0.410789,0.371953,0.493379,0.360084,0.434707,0.624702,0.189761,0.493372,0.317877,0.157033,p
0.292482,0.329166,0.333329,0,0.142583,0.003025,0.063359,0.001998,0.336163,0.300659,0.407241,0.294628,0.481347,0.551777,0.259972,0.407208,0.327626,0.153168,p
0.403155,0.220833,0,0,0.022812,0.000705,0.029819,0.000666,0.758317,0.702586,0.83655,0.727973,0.207084,0.685898,0.322588,0.836519,0.236804,0.115628,m
0.853744,0.28749,0,0,0.019007,0.000588,0.062116,0.000522,0.110502,0.086728,0.153902,0.087291,0.634321,0.36589,0.404182,0.153894,0.489977,0.151429,p
0.695637,0.491653,0,0,0.015202,0.000253,0.024846,0.000216,0.044659,0.058364,0.049358,0.026504,0.914187,0.164708,0.444032,0.054475,0.541895,0.357832,m
0.379452,0.145817,0,0,0.057031,0.001632,0.049692,0.001018,0.434529,0.388179,0.524304,0.383475,0.374995,0.664719,0.185954,0.524293,0.326712,0.149743,p
0.466392,0.754162,0.333329,0,0.085551,0.002103,0.137889,0.00168,0.415181,0.383298,0.495601,0.360084,0.481347,0.615294,0.157506,0.495591,0.312808,0.168889,m
0.699588,0.724989,0,0,0.089347,0.001822,0.069566,0.001642,0.341832,0.320923,0.402077,0.29774,0.580231,0.501171,0.240994,0.40206,0.300046,0.174259,m
0.881427,0.09583,0,0,0.045625,0.000972,0.02236,0.000458,0.859025,0.812797,0.927852,0.829294,0.240674,0.664719,0.322588,0.927832,0.203927,0.117652,m
0.462441,0.474983,0,0,0.011406,0.000298,0.019882,0.00025,0.007984,0,0.020626,0.002347,0.776112,0.194115,0.537009,0.020624,1,0.145826,m
0.403155,0.116668,0,0,0.017105,0.000303,0.024846,0.00031,0.888966,0.850079,0.947007,0.863604,0.281713,0.619998,0.352949,0.946976,0.184269,0.116043,m
0.09487,0.779167,0,0,0.096958,0.001357,0.091926,0.002414,0.339517,0.312005,0.404269,0.296975,0.535457,0.52235,0.252377,0.404278,0.309658,0.163441,m
0.498025,0.454169,0.333329,0,0.057031,0.00085,0.072052,0.002906,0.164981,0.161266,0.201789,0.129381,0.755592,0.347052,0.311205,0.201769,0.394863,0.214782,m
0.695637,0.27082,0,0,0.047528,0.001366,0.335408,0.008285,0.20783,0.209077,0.221665,0.19175,0.776112,0.247062,0.451608,0.221653,0.200662,0.191485,p
0.486173,0.074992,0,0,0.034219,0.000714,0.023603,0.000658,0.895433,0.869525,0.947007,0.864369,0.369413,0.590592,0.311205,0.946976,0.165616,0.129793,m
0.118573,0.129147,0.333329,0,0.043722,0.000692,0.021125,0.00056,0.885612,0.853324,0.939622,0.858145,0.328354,0.6,0.337759,0.939609,0.174635,0.122529,m
0.067216,0.529161,0,0,0.030414,0.000565,0.018639,0.000216,0.040001,0.053483,0.043444,0.023392,0.914187,0.157642,0.455415,0.048586,0.543881,0.366342,m
0.300412,0.724989,0,0,0.100754,0.007728,0.139132,0.023171,0.226939,0.213139,0.262888,0.201877,0.666044,0.357642,0.385204,0.262872,0.270365,0.160976,m
0.90513,0.470815,0,0,0.009504,0.000109,0.006216,0.00011,0.004631,0,0.01327,0,0.800366,0.174117,0.544604,0.013256,1,0.159446,m
0.529629,0.833321,0,0,0.064632,0.001339,0.048449,0.000831,0.12522,0.105356,0.108265,0.162135,0.656708,0.079992,0.842513,0.153155,0.375548,0.901806,p
0.743072,0.237479,0,0,0.038015,0.000588,0.023603,0.000386,0.048012,0.041345,0.068484,0.032753,0.772397,0.241177,0.464904,0.06847,0.534155,0.212188,p
0.90908,0.470815,0,0,0.117868,0.015086,0.040999,0.004641,0.020892,0.010553,0.039031,0.011709,0.755592,0.223542,0.510436,0.039028,0.895365,0.155347,m
1,0.258317,0,0,0.228134,0.007932,0.211185,0.008896,0.241923,0.149921,0.37998,0.183945,0.12127,0.850585,0.14421,0.379957,0.651142,0.132387,m
0.600796,0.437499,0,0,0.11216,0.002492,0.024846,0.000602,0.205248,0.182348,0.25406,0.175374,0.610067,0.414113,0.351055,0.254054,0.355753,0.160068,p
0.505926,0.687481,0,0,0.04943,0.00066,0.060872,0.001111,0.158514,0.14182,0.131083,0.203433,0.667911,0.037654,0.899448,0.192183,0.335023,0.868132,p
0.656132,0.141649,0,0,0.032316,0.000737,0.013666,0.000208,0.705648,0.63533,0.821809,0.649253,0.123138,0.85531,0.134721,0.821813,0.29742,0.13371,m
0.359699,0.387488,0,0,0.058934,0.001447,0.040999,0.000997,0.700751,0.636148,0.794577,0.662517,0.164177,0.747073,0.267548,0.794561,0.272397,0.120531,m
0.256928,0.125003,0,0,0.02091,0.00033,0.008702,0.000238,0.764784,0.693668,0.854205,0.737335,0.098884,0.741187,0.34346,0.854213,0.262055,0.107352,m
0.501975,0.01667,0,0,0.026608,0.000276,0.012423,0.00045,0.901102,0.863035,0.954363,0.879955,0.28358,0.6,0.38331,0.954344,0.178174,0.111088,m
0.395254,0.774999,0,0,0.121673,0.007602,0.110565,0.004633,0.148188,0.12723,0.124448,0.193306,0.64179,0.052948,0.901341,0.182625,0.394886,0.887641,p
0.573113,0.791646,0,0,0.02091,0.00033,0.023603,0.000577,0.07436,0.063219,0.046387,0.114586,0.733205,0.015294,0.869087,0.108238,0.570845,0.831578,p
0.09487,0.029149,0,0,0.022812,0.00009,0.012423,0.00028,0.795763,0.747151,0.877052,0.755268,0.244408,0.709419,0.246676,0.877027,0.225731,0.128548,m
0.743072,0.470815,0,0,0.043722,0.000959,0.028576,0.000976,0.269042,0.261767,0.306332,0.236161,0.697767,0.374117,0.326376,0.306338,0.271484,0.190837,p
0.916981,0.833321,0.333329,0,0.09125,0.006141,0.037269,0.001251,0.107654,0.090765,0.10088,0.130937,0.68283,0.124712,0.743835,0.123713,0.335434,0.939994,p
0.628449,0.829154,0,0,0.055129,0.00114,0.027332,0.00073,0.121866,0.100501,0.106044,0.158997,0.647392,0.084717,0.844407,0.150225,0.40395,0.91169,p
0.750973,0.704151,0.333329,0,0.121673,0.001194,0.049692,0.000802,0.4188,0.388179,0.500014,0.361665,0.488797,0.619998,0.142316,0.5,0.318014,0.171587,m
0.292482,0.39999,0.333329,0,0.039917,0.000348,0.039756,0.001111,0.116437,0.136965,0.128862,0.083414,0.938441,0.218817,0.332077,0.13108,0.399315,0.321019,m
0.584965,0.220833,0,0,0.051323,0.001153,0.031062,0.000335,0.167829,0.165329,0.211337,0.123922,0.763061,0.380002,0.250483,0.211327,0.446347,0.221476,m
0.616598,0.037484,0,0,0.045625,0.000764,0.110565,0.003233,0.247352,0.233403,0.283514,0.222132,0.658575,0.363527,0.38331,0.283495,0.261963,0.167722,p
0.54941,0.474983,0,0,0.009504,0.000063,0.014909,0.000225,0.043115,0.053483,0.050829,0.024948,0.89178,0.178821,0.444032,0.051545,0.545639,0.322731,m
0.830041,0.595818,0,0,0.003796,0.000032,0.008702,0.000047,0.00181,0,0.005164,0,0.820885,0.148233,0.565476,0.005149,0.555548,0.159446,p
0.81421,0.195828,0,0,0.028511,0.000461,0.02236,0.000305,0.850508,0.803087,0.919746,0.821514,0.235072,0.664719,0.32827,0.919753,0.206507,0.116666,m
0.300412,0.516658,0,0,0.007601,0.000032,0.004972,0.000021,0.005403,0,0.015462,0,0.794784,0.181183,0.538903,0.015446,1,0.159446,p
0.916981,0.595818,0,0,0.127371,0.011717,0.014909,0.00042,0.230053,0.18314,0.308553,0.19175,0.436574,0.562367,0.28842,0.308528,0.45879,0.141286,p
0.181839,0.483318,0,0,0.039917,0.000968,0.023603,0.000356,0.122638,0.065646,0.199567,0.095862,0.401116,0.529417,0.377609,0.199551,0.701484,0.120531,m
0.399204,0.612488,0.666671,0,0.077941,0.002139,0.040999,0.000759,0.274206,0.259314,0.314438,0.245523,0.643657,0.38941,0.356737,0.314417,0.264155,0.167047,p
0.54941,0.09583,0,0,0.017105,0.000122,0.019882,0.000153,0.735349,0.665304,0.843906,0.686674,0.115669,0.825883,0.189761,0.843887,0.283516,0.127173,m
0.213443,0.487485,0,0,0.011406,0.000045,0.008702,0.00011,0.035104,0.050263,0.036088,0.019489,0.927238,0.14471,0.46301,0.045656,0.593927,0.39545,m
0.18579,0.674978,0,0,0.039917,0.001076,0.032305,0.001184,0.134002,0.119947,0.108986,0.173818,0.694033,0.04354,0.863385,0.16422,0.349658,0.86354,p
0.3676,0.520826,0,0,0.007601,0.000032,0.004972,0.000021,0.017805,0.007308,0.03831,0.00625,0.755592,0.23411,0.493371,0.038289,0.8471,0.163337,p
0.415035,0.39999,0,0,0.038015,0.000724,0.014909,0.000305,0.157236,0.094828,0.238598,0.130937,0.352608,0.558823,0.379503,0.238579,0.638539,0.115758,m
0.304363,0.39999,0,0,0.028511,0.00066,0.036026,0.001391,0.11979,0.13372,0.136968,0.088082,0.89178,0.242358,0.341566,0.137708,0.395251,0.290718,m
0.458491,0.412493,0,0,0.079844,0.00293,0.050936,0.001374,0.120056,0.067256,0.192211,0.094306,0.430972,0.505896,0.385204,0.192183,0.680799,0.121387,m
0.99207,0.762497,0,0,0.074145,0.000787,0.045963,0.001464,0.129345,0.109419,0.10163,0.177721,0.654841,0.029406,0.926001,0.16789,0.422489,0.868054,p
0.146256,0.741659,0,0,0.034219,0.000222,0.139132,0.024037,0.202667,0.192058,0.233434,0.180042,0.6959,0.327054,0.404182,0.23343,0.27121,0.167047,m
0.916981,0.616656,0,0,0.085551,0.000525,0.028576,0.001137,0.046202,0.037282,0.067013,0.032753,0.757459,0.242358,0.478181,0.066991,0.541667,0.175401,p
0.920932,0.762497,0,1,0.04943,0.001967,0.085719,0.002231,0.339011,0.313615,0.399856,0.298531,0.550375,0.503533,0.267548,0.399841,0.298379,0.163234,m
0.695637,0.47915,0,0,0.015202,0.000118,0.013666,0.000301,0.037686,0.055936,0.037559,0.02028,0.947757,0.140006,0.449714,0.050805,0.623014,0.408162,m
0.35572,0.179157,0,0,0.028511,0.000412,0.018639,0.000475,0.766833,0.713932,0.842435,0.736544,0.223888,0.675308,0.322588,0.842408,0.22968,0.117262,m
0.391303,0.599986,0,0,0.017105,0.000461,0.018639,0.000255,0.162666,0.145883,0.136968,0.20578,0.666044,0.047062,0.886151,0.194402,0.318082,0.875266,p
0.841893,0.283323,0,0,0.043722,0.000868,0.029819,0.000386,0.033827,0.014591,0.061128,0.023392,0.690298,0.270583,0.500947,0.061103,0.791667,0.126784,m
0.45454,0.974995,0,0,0.077941,0.001171,0.050936,0.001082,0.114121,0.098865,0.094995,0.14887,0.692166,0.06706,0.827323,0.140638,0.384909,0.880065,p
0.984169,0.687481,0,0.500005,0.055129,0.001072,0.077025,0.001226,0.374115,0.343614,0.448464,0.324244,0.503734,0.576479,0.197337,0.448455,0.318128,0.166528,m
0.173909,0.737491,0,0,0.083649,0.002763,0.069566,0.005439,0.232368,0.216385,0.273936,0.203433,0.649259,0.385887,0.356737,0.273938,0.299863,0.168474,m
0.316214,0.908314,0.333329,0,0.083649,0.000791,0.045963,0.002325,0.07617,0.054301,0.070705,0.102877,0.658575,0.123531,0.770408,0.097201,0.496142,0.940409,p
0.304363,0.36665,0,0,0.055129,0.008086,0.068323,0.010657,0.028903,0.0081,0.059657,0.016377,0.680962,0.285877,0.485776,0.059652,0.910913,0.132387,m
0.928833,0.379153,0,0,0.036121,0.000063,0.039756,0.000887,0.360435,0.337124,0.426367,0.312561,0.557844,0.53294,0.212527,0.426353,0.307009,0.173637,p
0.162058,0.508323,0,0,0.039917,0.001922,0.060872,0.002278,0.018843,0.008918,0.033146,0.013265,0.759326,0.204704,0.537009,0.03314,0.860616,0.140326,p
0.802359,0.762497,0,0,0.089347,0.00194,0.114286,0.002465,0.286075,0.269868,0.3299,0.254885,0.630587,0.409408,0.337759,0.329891,0.275411,0.167722,m
0.936734,0.258317,0,0,0.077941,0.001415,0.03354,0.000564,0.303375,0.282823,0.351248,0.272027,0.595149,0.43295,0.335865,0.351254,0.274338,0.159109,p
0.3676,0.554166,0,0,0.015202,0.000118,0.01118,0.000123,0.007984,0,0.022847,0,0.776112,0.204704,0.519925,0.022814,1,0.159446,m
0.782606,0.437499,0,0,0.019007,0.000298,0.009945,0.000021,0.01368,0.004881,0.032396,0.002347,0.768662,0.224702,0.495265,0.0324,0.940753,0.172132,p
0.245076,0.033317,0,0,0.083649,0.001194,0.032305,0.000641,0.315005,0.27715,0.389557,0.272027,0.472012,0.563527,0.250483,0.389543,0.355228,0.152856,p
0.72332,0.137482,0,0,0.017105,0.000122,0.02236,0.000547,0.690158,0.619947,0.804875,0.635223,0.128739,0.844721,0.146104,0.804859,0.300023,0.132569,m
0.707518,0.8875,0,0,0.127371,0.00374,0.080746,0.004056,0.105844,0.085092,0.08836,0.144202,0.656708,0.072946,0.853896,0.136229,0.443379,0.896902,p
0.664033,0.520826,0,0,0.009504,0.000063,0.018639,0.000153,0.014451,0.004881,0.032396,0.004694,0.763061,0.221179,0.506648,0.0324,0.877511,0.159446,p
0.225295,0.487485,0.333329,0,0.100754,0.001773,0.054665,0.001213,0.114893,0.073747,0.171585,0.094306,0.513051,0.430588,0.42316,0.171559,0.613379,0.122192,m
0.743072,0.554166,0,0,0,0,0,0,0,0,0,0,0.833956,0.131758,0.578753,0,0,0.511052,p
0.98812,0.054154,0,0,0.039917,0.000972,0.036026,0.000301,0.847927,0.807942,0.913111,0.816055,0.287315,0.644721,0.307398,0.913125,0.195982,0.123619,m
0.130454,0.658332,0,0,0.028511,0.000511,0.036026,0.000636,0.089317,0.07781,0.06482,0.126269,0.725736,0.035292,0.844407,0.119275,0.463562,0.845665,p
0.304363,0.212498,0.333329,0,0.022812,0.000402,0.036026,0.000624,0.7671,0.735013,0.837271,0.722514,0.367546,0.649425,0.218228,0.837259,0.202283,0.144165,m
0.956515,0.154152,0,0,0.04182,0.000208,0.028576,0.000912,0.940092,0.930316,0.968354,0.918167,0.46641,0.489421,0.375715,0.968339,0.126963,0.128574,m
0.320165,0.529161,0,0,0.030414,0.000525,0.019882,0.00028,0.009794,0,0.02504,0.003112,0.763061,0.207067,0.529414,0.025033,1,0.146111,m
0.229245,0.354147,0,0,0.02091,0.000421,0.013666,0.000174,0.777932,0.754459,0.84907,0.72407,0.423503,0.656471,0.149911,0.849036,0.19774,0.160873,m
0.130454,0.299993,0,0,0.04943,0.000344,0.054665,0.00031,0.135546,0.142638,0.162008,0.100556,0.839557,0.290581,0.316887,0.162001,0.410068,0.258055,m
0.588944,0.345836,0,0,0.038015,0.00061,0.028576,0.000369,0.664342,0.589947,0.790134,0.601704,0.10822,0.891763,0.091083,0.790123,0.321507,0.137187,m
0.339918,0.516658,0,0,0.0133,0.000244,0.007459,0.000132,0.006707,0,0.018405,0.000791,0.785448,0.18941,0.535115,0.018405,1,0.15558,m
0.371551,0.249982,0,0,0.036121,0.001094,0.049692,0.002715,0.736626,0.705014,0.81151,0.686674,0.380597,0.664719,0.180272,0.811487,0.21226,0.151274,m
0.869546,0.099998,0,0,0.022812,0.000136,0.021125,0.000081,0.688348,0.607784,0.812231,0.633667,0.057844,0.88824,0.148017,0.812226,0.320023,0.128159,m
0.312264,0.437499,0,0,0.051323,0.001646,0.034783,0.000632,0.151301,0.154776,0.182634,0.114586,0.809702,0.317646,0.30361,0.182625,0.407374,0.237041,m
0.90513,0.125003,0,0,0.030414,0.000692,0.042242,0.000895,0.846889,0.803879,0.920496,0.80904,0.266795,0.684717,0.26376,0.920464,0.206393,0.128159,m
0.264829,0.516658,0,0,0.028511,0.000479,0.007459,0.000195,0.043354,0.029182,0.069234,0.029616,0.722021,0.265879,0.476287,0.06921,0.617603,0.154231,p
0.72332,0.558334,0,0,0.032316,0.000493,0.039756,0.000675,0.02374,0.017018,0.03831,0.014821,0.779846,0.207067,0.51233,0.038289,0.656621,0.169174,p
0.940713,0.620823,0,0,0.06273,0.000932,0.132925,0.003317,0.314739,0.276333,0.386615,0.275139,0.468277,0.550596,0.275143,0.386585,0.352123,0.147927,m
0.980219,0.674978,0.333329,0,0.057031,0.00166,0.080746,0.001523,0.384708,0.354142,0.460984,0.332815,0.5,0.58825,0.182166,0.460972,0.321096,0.168292,m
0.537559,0.712486,0,0,0.06273,0.003889,0.080746,0.006652,0.243466,0.22934,0.284264,0.213561,0.658575,0.384706,0.349142,0.284235,0.285753,0.175115,m
0.067216,0.558334,0,0,0.0133,0.000018,0.013666,0.000272,0.027359,0.040527,0.026511,0.015586,0.916035,0.134121,0.491458,0.036809,0.600525,0.415218,m
0.636351,0.745826,0,0,0.104559,0.001072,0.136646,0.003767,0.399691,0.371953,0.463926,0.357762,0.514918,0.534121,0.254271,0.46393,0.279566,0.156488,m
0.130454,0.437499,0,0,0.197711,0.004441,0.01118,0.000204,0.425241,0.382506,0.506649,0.379572,0.402984,0.62236,0.225804,0.506628,0.313242,0.148135,p
0.023732,0.029149,0,0,0.043722,0.000737,0.021125,0.000272,0.96644,0.972454,0.977932,0.946993,0.567161,0.415294,0.392799,0.977926,0.096347,0.139262,m
0.861645,0.687481,0,0.500005,0.072243,0.001872,0.114286,0.002049,0.420344,0.388971,0.501486,0.363987,0.483215,0.619998,0.148017,0.501479,0.314475,0.17016,m
0.363649,0.483318,0,0,0.038015,0.000841,0.02236,0.000568,0.026588,0.009736,0.044916,0.023392,0.708951,0.225883,0.554094,0.044917,0.82726,0.095626,m
0.241126,0.883332,0,0,0.085551,0.00577,0.037269,0.001765,0.046468,0.035672,0.030925,0.073262,0.744408,0.068242,0.772302,0.06921,0.593151,0.854641,p
0.324115,0.17499,0,0,0.019007,0.000457,0.016152,0.000356,0.860568,0.819288,0.916054,0.840212,0.274264,0.601181,0.390906,0.916055,0.187215,0.109272,m
0.300412,0.724989,0,0,0.100754,0.007728,0.139132,0.023171,0.226939,0.213139,0.262888,0.201877,0.666044,0.357642,0.385204,0.262872,0.270365,0.160976,m
0.478272,0,0,0,0.034219,0.000312,0.064602,0.003644,1,0.998365,1,1,0.503734,0.368231,0.533222,1,0.092763,0.087739,m
0.498025,0.549999,0,0,0.051323,0.000122,0.019882,0.000441,0.029169,0.006491,0.062599,0.015586,0.667911,0.298829,0.478181,0.062582,0.915388,0.132102,m
0.577064,0.241647,0,0,0.07034,0.00293,0.042242,0.00185,0.178927,0.171002,0.228299,0.134075,0.722021,0.41059,0.242888,0.228281,0.444863,0.21032,m
