@relation phoneme-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute class {p,m}

@data
0.536934,0.540503,0.287511,0.328879,0.320799,p
0.359438,0.452358,0.826414,0.183535,0.320799,p
0.403233,0.758161,0.258162,0.312564,0.284818,p
0.333124,0.382357,0.880396,0.194305,0.457957,p
0.496169,0.46139,0.502238,0.769384,0.196323,p
0.464786,0.64372,0.269166,0.676999,0.223088,p
0.376644,0.562282,0.665958,0.728462,0.201889,m
0.306348,0.28997,0.439694,0.508307,0.320799,p
0.347215,0.409284,0.730028,0.23619,0.244573,p
0.392721,0.754166,0.237325,0.300863,0.27858,p
0.417955,0.506324,0.475253,0.41232,0.374325,p
0.465096,0.537453,0.540096,0.442593,0.171248,p
0.523228,0.50528,0.461734,0.476063,0.580209,p
0.258545,0.134219,0.664268,0.772743,0.165444,p
0.352029,0.448737,0.818457,0.572615,0.595652,m
0.427424,0.544284,0.277279,0.322956,0.347824,p
0.424929,0.436784,0.430422,0.336095,0.304637,p
0.72496,0.194571,0.405301,0.394758,0.29788,p
0.32503,0.306615,0.441278,0.67645,0.134012,m
0.386038,0.738899,0.228956,0.301199,0.282936,p
0.480576,0.57848,0.280392,0.401736,0.292817,p
0.309142,0.305109,0.525792,0.64428,0.320799,p
0.302913,0.276685,0.440151,0.480179,0.320799,p
0.318259,0.434835,0.601732,0.281592,0.27859,p
0.327641,0.361074,0.540214,0.280833,0.637134,m
0.332329,0.423781,0.309879,0.477932,0.320799,p
0.373496,0.684374,0.666888,0.533641,0.260578,p
0.358338,0.472473,0.683095,0.536445,0.17063,m
0.32054,0.38758,0.526482,0.800015,0.151904,p
0.83625,0.326702,0.403518,0.343918,0.31071,p
0.648282,0.564813,0.530072,0.30685,0.361893,p
0.345818,0.592338,0.283779,0.420745,0.34917,p
0.412094,0.648234,0.246321,0.429633,0.360508,p
0.440278,0.561253,0.599032,0.441805,0.320799,p
0.379328,0.688964,0.544489,0.582613,0.4575,m
0.363741,0.583116,0.296799,0.319333,0.299176,p
0.371355,0.497891,0.802231,0.235183,0.320799,p
0.360897,0.392899,0.866742,0.174255,0.242467,p
0.350254,0.544843,0.501905,0.423215,0.289817,p
0.357589,0.453401,0.80614,0.223026,0.320799,p
0.467883,0.753162,0.284649,0.322879,0.286439,p
0.414206,0.547462,0.577549,0.293939,0.374589,p
0.383063,0.610904,0.749141,0.516537,0.483901,p
0.391289,0.665228,0.598208,0.547197,0.228181,m
0.338188,0.419117,0.777598,0.216453,0.244624,p
0.518794,0.448574,0.449071,0.443897,0.223197,p
0.400416,0.732479,0.250809,0.293169,0.276905,p
0.344351,0.496188,0.909266,0.215432,0.320799,p
0.492284,0.692197,0.29091,0.322598,0.378186,p
0.81709,0.359047,0.453773,0.484342,0.273449,p
0.362491,0.434838,0.82744,0.183494,0.320799,p
0.382631,0.436882,0.780065,0.230585,0.260871,p
0.409973,0.627713,0.256933,0.309957,0.320799,p
0.332947,0.315634,0.597433,0.753985,0.531396,p
0.69194,0.281976,0.699132,0.268632,0.38794,p
0.467239,0.543235,0.298392,0.405583,0.35492,p
0.348091,0.761947,0.622494,0.512468,0.270602,m
0.409776,0.34767,0.728339,0.75285,0.532377,m
0.323365,0.450249,0.627279,0.251649,0.268575,p
0.313921,0.393041,0.51767,0.808972,0.119517,m
0.633229,0.4739,0.302564,0.412361,0.297217,p
0.321971,0.304504,0.459525,0.212247,0.801841,p
0.332084,0.350685,0.674176,0.65544,0.320799,m
0.332,0.469963,0.614549,0.270151,0.382293,p
0.433917,0.576755,0.582881,0.694559,0.231739,m
0.889828,0.176676,0.444147,0.450586,0.293111,p
0.382482,0.789311,0.262246,0.432314,0.468976,p
0.798258,0.359482,0.624402,0.299894,0.294794,p
0.332308,0.311897,0.467094,0.692171,0.582172,p
0.416671,0.523754,0.313691,0.326739,0.347416,p
0.657211,0.318171,0.38374,0.380187,0.30821,p
0.407742,0.768208,0.261922,0.307378,0.288835,p
0.564492,0.622593,0.264372,0.407439,0.294927,p
0.316061,0.257575,0.332404,0.208279,0.628655,m
0.419476,0.364118,0.727278,0.853657,0.182793,m
0.329477,0.413633,0.811048,0.205462,0.320799,p
0.509495,0.361905,0.337643,0.379386,0.337021,p
0.340735,0.431341,0.78835,0.168605,0.571942,m
0.415625,0.703786,0.655208,0.259306,0.271132,p
0.610507,0.6208,0.288052,0.32484,0.291191,p
0.390225,0.751883,0.238593,0.446758,0.275484,p
0.86534,0.353325,0.336479,0.338512,0.306707,p
0.314293,0.350914,0.443645,0.18749,0.320799,m
0.436557,0.565016,0.285837,0.32597,0.320799,p
0.357161,0.454538,0.898878,0.603076,0.22697,p
0.389979,0.7025,0.551445,0.53199,0.501346,m
0.322421,0.357764,0.468391,0.43883,0.545723,m
0.379257,0.612926,0.531176,0.301313,0.281358,p
0.393207,0.624399,0.593795,0.473934,0.276492,p
0.337879,0.675022,0.284299,0.412767,0.362817,p
0.453434,0.783378,0.246477,0.482511,0.40926,p
0.354885,0.637771,0.268251,0.293282,0.284153,p
0.330003,0.372236,0.520572,0.756277,0.320799,m
0.335876,0.292916,0.504541,0.848374,0.320799,p
0.355181,0.731855,0.243175,0.468349,0.494226,p
0.433177,0.380835,0.401548,0.37746,0.341672,p
0.401143,0.692928,0.242299,0.303213,0.281319,p
0.496942,0.625337,0.2679,0.320042,0.320799,p
0.312526,0.314135,0.51199,0.502794,0.320799,m
0.448564,0.340791,0.695391,0.554752,0.466961,p
0.36766,0.818298,0.259862,0.291987,0.476815,p
0.415211,0.707962,0.644653,0.258876,0.270878,p
0.329766,0.59747,0.277642,0.42383,0.275627,p
0.41829,0.626369,0.294085,0.318845,0.292635,p
0.389667,0.414987,0.711422,0.51837,0.23846,m
0.47722,0.397056,0.516098,0.437184,0.375704,p
0.313653,0.350258,0.636779,0.358756,0.320799,m
0.442555,0.832185,0.23135,0.303068,0.286093,p
0.513588,0.358671,0.337463,0.385292,0.349414,p
0.397576,0.728594,0.275933,0.414799,0.267484,p
0.323583,0.369621,0.855271,0.180233,0.704829,m
0.313692,0.362289,0.431677,0.635464,0.320799,m
0.690106,0.582278,0.307354,0.325988,0.298994,p
0.355215,0.656959,0.263664,0.294278,0.272557,p
0.442539,0.533064,0.463106,0.428539,0.246775,p
0.397712,0.541972,0.601383,0.564093,0.631848,p
0.319404,0.292082,0.453269,0.216872,0.780529,p
0.347804,0.437999,0.553247,0.774218,0.128106,m
0.341653,0.434612,0.826719,0.64841,0.320799,p
0.348637,0.437073,0.770991,0.574806,0.151631,m
0.61375,0.627954,0.298155,0.412084,0.398,p
0.344725,0.599,0.557261,0.555607,0.211139,p
0.339229,0.615885,0.551907,0.302376,0.375418,p
0.741623,0.449573,0.437248,0.556049,0.268421,p
0.39617,0.478898,0.856237,0.199708,0.252795,m
0.333523,0.436926,0.782524,0.150297,0.192341,p
0.273046,0.341206,0.542489,0.747692,0.11407,m
0.258119,0.422963,0.526797,0.267402,0.371044,p
0.823909,0.369647,0.329896,0.338873,0.305623,p
0.467471,0.318781,0.713566,0.550862,0.260999,m
0.493491,0.390888,0.693666,0.505775,0.254943,m
0.309712,0.311655,0.515727,0.929336,0.320799,m
0.326344,0.335528,0.474478,0.590529,0.320799,m
0.398634,0.774156,0.28324,0.596116,0.237464,p
0.40057,0.638856,0.515434,0.45198,0.244603,p
0.41375,0.63368,0.709721,0.262606,0.381593,p
0.33575,0.419568,0.831932,0.179254,0.320799,p
0.52556,0.692763,0.556544,0.312293,0.290761,m
0.327502,0.38904,0.544023,0.587491,0.201963,m
0.629787,0.465431,0.526202,0.460889,0.25642,p
0.269777,0.41786,0.836641,0.172124,0.320799,p
0.476607,0.320574,0.729578,0.536342,0.258503,m
0.365354,0.582874,0.497721,0.431076,0.369571,p
0.4464,0.501458,0.305839,0.331866,0.303471,p
0.486774,0.676581,0.295346,0.400381,0.293306,p
0.274907,0.367134,0.621037,0.63774,0.486856,m
0.869199,0.317103,0.410098,0.509842,0.275943,p
0.378972,0.541525,0.606369,0.461877,0.365727,p
0.340528,0.466226,0.806512,0.237089,0.458449,p
0.335778,0.410805,0.762924,0.246825,0.255399,p
0.343131,0.41775,0.852535,0.210768,0.236335,p
0.821027,0.306102,0.339588,0.377816,0.307427,p
0.399525,0.529788,0.247655,0.305998,0.280029,p
0.390126,0.437208,0.671972,0.241578,0.691172,m
0.365347,0.494589,0.634141,0.756921,0.320799,m
0.335825,0.412711,0.887435,0.163894,0.473509,p
0.343427,0.31199,0.710952,0.573521,0.60518,p
0.486679,0.392027,0.861923,0.223644,0.2325,m
0.358582,0.539684,0.520649,0.44295,0.275,p
0.332239,0.539048,0.4891,0.417578,0.320799,p
0.415917,0.709692,0.264827,0.295023,0.582899,p
0.306723,0.299397,0.47299,0.569701,0.320799,p
0.384902,0.612495,0.502669,0.452596,0.229788,p
0.283616,0.320637,0.627108,0.74912,0.172501,p
0.447078,0.579586,0.479545,0.295473,0.672616,p
0.649698,0.279579,0.341012,0.377207,0.300211,p
0.850827,0.308043,0.522344,0.315714,0.298585,p
0.332632,0.315145,0.600097,0.781319,0.54534,p
0.342892,0.390438,0.518514,0.885008,0.117416,m
0.31347,0.299204,0.445253,0.585048,0.320799,p
0.328184,0.366666,0.221627,0.849193,0.085911,m
0.512138,0.478724,0.441381,0.400658,0.350467,p
0.314679,0.359576,0.421066,0.476694,0.320799,m
0.323571,0.339539,0.505302,0.779553,0.128535,p
0.355298,0.373321,0.562286,0.714474,0.087033,m
0.327715,0.353459,0.520822,0.267853,0.693053,m
0.671327,0.27992,0.465168,0.77683,0.188765,p
0.348057,0.350789,0.511232,0.869703,0.842161,m
0.331037,0.410926,0.845825,0.603026,0.229036,p
0.317843,0.299954,0.460685,0.84431,0.11242,p
0.595303,0.403021,0.535392,0.717104,0.208475,p
0.326849,0.4704,0.650085,0.247304,0.275524,p
0.387018,0.420044,0.563371,0.871303,0.138177,m
0.318988,0.334725,0.478572,0.608616,0.200495,m
0.313674,0.33348,0.555532,0.572728,0.320799,m
0.503667,0.456049,0.823173,0.248094,0.273792,p
0.579942,0.455674,0.315208,0.405065,0.361437,p
0.958908,0.174616,0.339298,0.343879,0.309812,p
0.310658,0.331688,0.592419,0.567162,0.199245,m
0.662987,0.298614,0.414847,0.343964,0.320799,p
0.327758,0.440323,0.716792,0.222614,0.320799,p
0.330915,0.380773,0.545904,0.90864,0.320799,m
0.63216,0.636101,0.280803,0.327587,0.298686,m
0.420623,0.765427,0.269055,0.315331,0.367908,p
0.314001,0.359836,0.5038,0.716215,0.320799,p
0.353768,0.466398,0.757614,0.2,0.320799,p
0.372883,0.719729,0.624816,0.496017,0.27336,m
0.639539,0.608232,0.265989,0.477155,0.393618,p
0.408444,0.620693,0.26457,0.30915,0.320799,p
0.778816,0.287988,0.343697,0.379394,0.305403,p
0.382932,0.408839,0.658906,0.561257,0.233045,m
0.774879,0.456156,0.31451,0.523264,0.261952,p
0.493411,0.660507,0.26837,0.441948,0.409552,p
0.339259,0.448221,0.921951,0.174514,0.22238,p
0.379537,0.685741,0.248001,0.428805,0.281388,p
0.319636,0.35148,0.625559,0.566099,0.320799,m
0.33647,0.30656,0.734343,0.655343,0.780022,m
0.407935,0.591484,0.539505,0.302373,0.289828,p
0.514986,0.72173,0.274743,0.29841,0.278237,p
0.743956,0.4224,0.648731,0.30447,0.294181,p
0.555925,0.327337,0.398483,0.392501,0.338329,p
0.309803,0.348543,0.435161,0.506077,0.48317,m
0.528856,0.401865,0.512382,0.503627,0.401907,m
0.345701,0.320074,0.631751,0.712021,0.765135,m
0.365462,0.80998,0.261417,0.312716,0.287538,p
0.69605,0.549118,0.297155,0.601088,0.251845,p
0.414178,0.548231,0.285998,0.324256,0.29932,p
0.42637,0.621775,0.25371,0.314628,0.356982,p
0.397421,0.675364,0.685092,0.252698,0.269488,p
0.334699,0.410467,0.835452,0.594539,0.320799,p
0.392761,0.678076,0.294749,0.321304,0.359009,p
0.350877,0.569035,0.4781,0.420864,0.349091,p
0.419298,0.737825,0.564928,0.278169,0.374837,p
0.798411,0.370819,0.337374,0.379902,0.336142,p
0.335006,0.342004,0.835835,0.603192,0.435057,p
0.609746,0.188139,0.411878,0.393484,0.295482,p
0.409734,0.589046,0.566348,0.62244,0.212801,p
0.376644,0.562282,0.665958,0.728528,0.201853,m
0.370753,0.40809,0.810381,0.243576,0.268269,p
0.81952,0.177686,0.342302,0.376451,0.308145,p
0.34796,0.376815,0.532019,0.541772,0.526527,m
0.31452,0.351841,0.44425,0.529851,0.630557,m
0.314316,0.287132,0.456127,0.500093,0.106641,p
0.259576,0.653952,0.550571,0.470231,0.320799,p
0.416042,0.539476,0.532637,0.409999,0.35367,p
0.900155,0.172964,0.340556,0.344821,0.337361,p
0.468434,0.338732,0.735012,0.67849,0.509522,m
0.310961,0.31943,0.603102,0.885441,0.320799,p
0.318278,0.334932,0.452838,0.520049,0.320799,m
0.475623,0.513492,0.695183,0.228087,0.270063,m
0.495138,0.444435,0.823764,0.252425,0.249845,m
0.481244,0.627563,0.27514,0.433612,0.552993,p
0.37713,0.427729,0.711683,0.589976,0.576549,m
0.336952,0.290444,0.48647,0.878479,0.136975,p
0.747407,0.342241,0.393849,0.382746,0.335331,p
0.373525,0.319347,0.592606,0.791136,0.320799,m
0.346175,0.399749,0.669483,0.60073,0.480326,m
0.708528,0.448407,0.307067,0.388455,0.390211,p
0.608671,0.680863,0.300636,0.326193,0.296085,p
0.442556,0.647918,0.268953,0.31375,0.28908,p
0.591614,0.522557,0.673746,0.279156,0.27961,p
0.441542,0.647094,0.591406,0.29437,0.282927,p
0.568575,0.379264,0.449183,0.328952,0.306984,p
0.780748,0.334647,0.336799,0.399097,0.347064,p
0.459156,0.632874,0.485861,0.689253,0.213014,p
0.368044,0.740927,0.247919,0.624185,0.224695,p
0.854875,0.178952,0.335958,0.381643,0.334884,p
0.419605,0.646409,0.466902,0.685309,0.235597,p
0.408936,0.635736,0.556195,0.43029,0.280635,p
0.316163,0.394342,0.805724,0.191343,0.240383,p
0.762074,0.284714,0.401159,0.409091,0.299869,p
0.568019,0.417352,0.628976,0.542192,0.503766,m
0.419751,0.67149,0.269901,0.416703,0.256652,p
0.328077,0.436542,0.690068,0.245443,0.270747,p
0.330402,0.421014,0.895931,0.143669,0.320799,p
0.781774,0.422218,0.425697,0.304904,0.398959,p
0.361625,0.38809,0.715275,0.613347,0.141892,m
0.52193,0.483125,0.49481,0.726075,0.204196,p
0.424581,0.726025,0.258327,0.542795,0.249878,p
0.39981,0.539267,0.276022,0.317228,0.294976,p
0.319563,0.377243,0.532364,0.801,0.154105,p
0.329677,0.399951,0.498841,0.743707,0.159683,m
0.349337,0.472626,0.77026,0.615523,0.60575,m
0.322976,0.305248,0.435418,0.663891,0.1067,m
0.337358,0.47606,0.640819,0.240026,0.320799,p
0.492031,0.627535,0.630166,0.255008,0.281321,m
0.336161,0.341116,0.881551,0.667477,0.585615,m
0.414787,0.308904,0.543133,0.297485,0.296234,p
0.333445,0.537795,0.526605,0.445446,0.276958,p
0.336672,0.407939,0.782287,0.141099,0.229555,p
0.315311,0.278758,0.415982,0.271159,0.517098,m
0.493827,0.633284,0.520675,0.41986,0.287361,m
0.35727,0.452493,0.603116,0.489361,0.267149,p
0.645999,0.461553,0.329525,0.399515,0.30525,p
0.566963,0.520852,0.478573,0.317222,0.293212,p
0.48028,0.482032,0.285863,0.330789,0.343215,p
0.392957,0.456321,0.71126,0.694157,0.220924,m
0.324193,0.360796,0.65467,0.655479,0.186632,m
0.352556,0.654698,0.487177,0.437415,0.243154,p
0.35288,0.373064,0.506309,0.629958,0.656577,m
0.359807,0.665108,0.521181,0.514863,0.620481,p
0.37131,0.63845,0.735713,0.518333,0.247604,p
0.362263,0.295169,0.735402,0.615818,0.139817,m
0.31632,0.27959,0.44459,0.584883,0.754615,p
0.638914,0.420295,0.434416,0.339411,0.308104,p
0.365936,0.76447,0.278735,0.317421,0.36539,p
0.833391,0.356132,0.411752,0.566287,0.264015,p
0.336428,0.303798,0.456111,0.714633,0.738707,p
0.369976,0.598038,0.28278,0.320492,0.298222,p
0.534182,0.389086,0.659222,0.67293,0.157966,m
0.383256,0.503024,0.727232,0.749798,0.201289,m
0.646856,0.435038,0.422773,0.410334,0.304587,p
0.342101,0.475522,0.607056,0.464968,0.390026,p
0.386582,0.599738,0.623926,0.496605,0.27089,m
0.34447,0.477276,0.693656,0.254658,0.267238,p
0.360678,0.640875,0.55648,0.51772,0.539354,m
0.405237,0.672858,0.285619,0.41475,0.254437,p
0.338101,0.392753,0.88118,0.202827,0.236494,p
0.413123,0.621896,0.707067,0.249348,0.268233,p
0.38096,0.385178,0.104029,0.506,0.239909,m
0.406658,0.524552,0.577708,0.274528,0.281186,m
0.412968,0.561349,0.292945,0.398115,0.300494,p
0.346133,0.320676,0.651998,0.698262,0.754106,m
0.384371,0.333171,0.7752,0.674121,0.685843,m
0.918182,0.360997,0.330377,0.340074,0.306906,p
0.315141,0.34189,0.560656,0.842215,0.122731,m
0.360156,0.479672,0.64058,0.740719,0.200632,m
0.476803,0.513271,0.30649,0.32881,0.304405,p
0.361252,0.40197,0.787257,0.627274,0.454377,p
0.40081,0.75265,0.254074,0.604383,0.251079,m
0.361725,0.832839,0.250878,0.300093,0.282864,p
0.316469,0.341483,0.635577,0.865623,0.320799,p
0.338614,0.417522,0.921841,0.17283,0.320799,p
0.594452,0.605402,0.463899,0.408792,0.289896,p
0.455051,0.40193,0.320402,0.38307,0.349885,p
0.321166,0.335752,0.503377,0.779442,0.320799,m
0.489291,0.72624,0.278422,0.433681,0.320799,p
0.313666,0.287097,0.479984,0.807704,0.157992,p
0.474644,0.634732,0.672133,0.26883,0.280094,m
0.333749,0.577134,0.505948,0.4438,0.320799,p
0.308405,0.310294,0.447913,0.526279,0.140566,p
0.356311,0.534583,0.640981,0.244937,0.250308,p
0.389235,0.648495,0.512398,0.421917,0.370606,p
0.332863,0.430309,0.897584,0.142608,0.320799,p
0.337082,0.435182,0.825984,0.222321,0.320799,p
0.311312,0.301378,0.437847,0.557128,0.601893,p
0.344219,0.388917,0.735422,0.242979,0.320799,p
0.418072,0.698319,0.593986,0.453425,0.273394,p
0.320109,0.412872,0.735766,0.184407,0.182767,p
0.482601,0.720004,0.275707,0.312229,0.28708,p
0.386499,0.597421,0.542979,0.495516,0.219753,m
0.965896,0.334979,0.337052,0.338943,0.335002,p
0.385121,0.434724,0.616089,0.289956,0.384017,p
0.282769,0.187838,0.273675,0.142366,0.320799,m
0.712401,0.480114,0.448579,0.392754,0.397949,p
0.345005,0.479304,0.666219,0.260185,0.266781,p
0.372908,0.427391,0.52757,0.639764,0.183339,m
0.322422,0.301223,0.490415,0.743235,0.320799,p
0.320938,0.382383,0.448718,0.522435,0.566114,p
0.331182,0.339434,0.664736,0.49911,0.320799,m
0.308317,0.287687,0.451547,0.709035,0.320799,p
0.331741,0.444686,0.308296,0.457399,0.458104,p
0.599517,0.582385,0.291307,0.327112,0.294645,p
0.574513,0.612316,0.580816,0.493663,0.277727,p
0.301889,0.26824,0.401613,0.468259,0.320799,p
0.267578,0.180519,0.269749,0.632191,0.320799,m
0.34165,0.433908,0.778056,0.750465,0.320799,p
0.390391,0.322137,0.565675,0.716451,0.166669,m
0.41318,0.443557,0.728036,0.541299,0.570466,m
0.375678,0.684905,0.656749,0.53783,0.260924,p
0.369695,0.336004,0.770774,0.559421,0.487214,m
0.458988,0.699685,0.278867,0.613683,0.225647,p
0.314679,0.306556,0.550464,0.802287,0.122141,m
0.427602,0.771872,0.278501,0.4278,0.420476,p
0.598082,0.519041,0.307994,0.33125,0.346979,p
0.24953,0.431554,0.585135,0.241404,0.252421,p
0.313855,0.377663,0.45753,0.629132,0.320799,m
0.436697,0.600348,0.466279,0.424557,0.269059,p
0.497965,0.592662,0.276961,0.312716,0.376528,p
0.771628,0.396046,0.422682,0.398955,0.27666,p
0.462396,0.614828,0.485152,0.710008,0.212502,p
0.350924,0.439403,0.684801,0.526875,0.221796,p
0.648032,0.29869,0.391433,0.383359,0.345687,p
0.323729,0.351757,0.546744,0.772378,0.12532,m
0.773754,0.329175,0.477875,0.514366,0.420726,p
0.536255,0.529644,0.487543,0.314507,0.291506,p
0.693737,0.33471,0.341609,0.376225,0.311184,p
0.50739,0.653724,0.261576,0.317927,0.320799,p
0.311712,0.327989,0.431308,0.555314,0.320799,m
0.362161,0.888723,0.206848,0.276917,0.320799,p
0.360795,0.64911,0.245479,0.471953,0.27562,p
0.358717,0.618527,0.699552,0.526429,0.234001,p
0.942513,0.17901,0.337418,0.339105,0.3045,p
0.316052,0.317288,0.453685,0.24688,0.597488,m
0.318076,0.283382,0.439378,0.569384,0.719269,p
0.338612,0.559432,0.527072,0.449863,0.277273,p
0.923102,0.306805,0.434062,0.440862,0.293295,p
0.384397,0.418521,0.548114,0.91122,0.143992,m
0.276425,0.164254,0.236281,0.769854,0.320799,m
0.898519,0.346532,0.437838,0.47784,0.287934,p
0.310463,0.33734,0.557786,0.875724,0.10125,m
0.692487,0.317382,0.397609,0.382737,0.346954,p
0.441018,0.550029,0.305015,0.406862,0.256898,p
0.837632,0.360278,0.334063,0.38171,0.334405,p
0.335903,0.365347,0.586824,0.590355,0.176118,m
0.567104,0.333849,0.397566,0.393414,0.339559,p
0.340848,0.444612,0.870026,0.183645,0.226661,p
0.320372,0.337662,0.664162,0.561354,0.205305,m
0.342336,0.511223,0.952532,0.162956,0.320799,p
0.42704,0.525528,0.612403,0.505758,0.467363,m
0.442638,0.54834,0.55337,0.301837,0.281765,p
0.322616,0.293898,0.487087,0.717027,0.042331,m
0.581635,0.547248,0.287492,0.297818,0.552771,p
0.515288,0.415573,0.290506,0.389136,0.320799,p
