@relation banana-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {m,p}

@data
0.4226,1.737,p
1.1448,0.2121,p
1.5485,-0.0305,p
-1.1905,-0.9393,p
-0.8339,-1.1873,p
-0.5363,1.1285,p
-1.3015,-0.8113,m
-0.7449,0.987,p
-1.5973,-0.5413,m
-0.3474,-1.4986,p
-0.2833,1.8796,m
0.9071,0.1914,p
-0.3105,-1.0652,p
-0.9746,-0.1824,m
0.9322,1.4312,m
0.485,0.635,p
-1.2713,-0.6735,m
-1.2461,0.1038,m
-0.496,1.4063,p
-1.2784,0.2126,m
1.2909,-0.3905,p
-0.4839,-1.1991,p
-0.5445,-0.7734,p
0.7944,1.0078,p
-1.1334,0.9278,p
-1.4629,0.6567,p
0.4646,0.2827,m
0.9406,-0.789,m
1.4904,-1.5334,m
2.0924,1.1005,m
0.3075,0.9334,p
-0.6155,0.4128,m
1.9326,0.1651,p
-0.0987,0.966,m
1.1291,1.5062,m
0.3816,0.1748,m
-0.8506,0.405,m
1.9154,0.0429,p
1.3431,0.3205,p
0.5603,0.4908,p
-0.6141,-1.4253,p
-0.0686,1.7161,p
-0.4238,0.0207,m
0.5692,-0.8581,p
1.1489,0.6343,p
1.8544,1.6057,m
-0.5581,-1.6686,p
-0.7597,-1.2572,p
-0.3082,2.1856,m
-0.074,1.968,m
-0.337,1.8533,p
-1.4827,-0.682,m
1.4268,0.4978,p
0.6754,0.886,p
-0.1857,-0.0925,m
-0.2873,-1.0679,p
0.7201,0.989,p
-0.783,-1.3328,p
0.8347,-0.0137,p
1.4564,1.6858,m
-0.6305,0.9488,p
0.969,0.9212,p
-0.6388,-1.3747,p
-1.5512,0.6947,p
-1.69,-0.0461,m
1.4726,0.5743,p
-1.3867,-0.2825,m
0.0007,-0.0366,m
0.2826,0.3942,m
1.5208,-0.0653,p
-1.0377,0.9838,p
0.1268,1.9394,p
-0.5385,-1.1503,p
1.3815,-0.2442,p
1.4436,0.0946,p
0.812,0.7084,p
-0.9988,0.9058,p
0.0205,1.2331,p
-0.6782,-0.4168,m
-0.8687,0.625,p
0.3435,-1.1378,p
0.1119,0.0285,m
-0.9242,1.4535,p
-1.3566,-0.2579,m
2.8134,1.3017,m
-0.7787,0.6759,m
0.769,0.8547,p
-0.895,-1.0667,m
-1.5183,0.5055,p
1.148,-1.137,m
-0.4672,-0.9446,p
1.1938,0.2891,p
0.1619,-0.7914,p
-0.4203,1.1118,p
0.3735,-1.1683,p
0.4828,-1.2297,p
0.0662,1.6207,p
0.3846,-1.0728,m
0.9941,0.0734,p
-0.5108,1.5305,p
0.8935,-0.7422,m
-1.137,1.1614,p
0.3261,0.0063,m
-1.4449,-0.0746,m
-1.2864,-0.5289,m
1.7719,0.013,p
-0.6381,-0.7516,p
1.8779,-0.3685,p
-0.9735,0.4953,m
-0.7507,-1.3706,p
-0.7939,1.2394,p
0.2175,-0.3682,m
0.121,-1.2998,p
0.4036,-0.8681,p
-0.1096,-0.3716,m
0.7447,0.6813,p
-0.6604,1.4088,p
-0.7239,0.2155,m
-0.9444,1.0176,p
0.5458,-0.1955,m
0.2616,-0.6727,p
-0.5083,-0.6944,m
0.2998,-1.1789,p
-0.3276,0.2316,m
0.1932,1.7201,p
-0.0845,1.1495,p
-0.2881,0.305,m
0.4505,1.6017,p
0.2553,0.4125,p
-0.1164,-1.3592,p
-1.3331,-0.861,m
-1.1233,0.6992,p
0.8158,-0.133,m
-1.2167,0.5692,m
0.2916,-0.1585,m
0.3714,-0.5886,m
1.3763,1.2513,m
-0.4795,0.9103,p
0.3794,1.7439,p
-1.6429,0.143,m
0.0179,-0.6999,m
1.224,0.541,p
-0.3013,1.6945,p
1.1804,-0.0513,p
-0.6396,-0.9391,p
0.8546,-0.2655,m
0.3393,0.8807,p
0.4948,-0.2805,m
2.6352,0.9657,m
1.573,-0.0786,p
-0.7562,-0.6789,p
0.3574,0.6467,p
0.543,0.913,p
-1.4936,-0.0266,m
-1.246,0.857,p
-1.6783,1.0776,p
-0.862,1.5262,p
-0.2133,0.7702,m
0.021,-0.9049,p
-0.0785,-1.1593,p
0.6309,-0.6738,m
-1.5352,0.5623,p
-1.0772,-0.6122,m
1.7508,1.3328,m
-0.7568,0.2984,m
0.041,-1.1312,p
-0.2353,-1.2163,p
1.0011,0.2849,m
0.1897,0.9693,m
0.5437,1.2213,p
-1.4927,0.5549,p
1.0993,-0.3132,m
-1.9385,-1.0311,m
-0.5546,0.9083,p
0.8901,0.8642,p
-0.6208,-1.1164,p
0.479,-0.8209,p
-1.1248,0.4939,p
-0.8031,-1.2104,p
0.6371,1.5456,m
0.6727,1.0673,p
-1.2509,-1.474,p
-1.0423,-1.0733,p
0.1854,0.2607,m
-1.1387,-0.9268,m
-0.1723,-0.6762,m
0.2872,-0.5166,m
-1.2544,0.4788,p
0.164,-1.1783,p
-0.0113,-0.7798,p
-0.6145,-1.363,p
-0.591,-1.0782,p
-0.0908,-0.8464,p
1.5329,0.3679,p
0.8804,-0.2405,p
-0.0238,0.0004,m
-0.5341,-1.2281,p
0.303,-0.1427,m
0.6172,1.3437,m
0.3061,-1.1349,p
-0.665,-1.0388,p
-1.0645,-1.2424,p
2.3428,1.1291,m
0.9082,1.4834,m
-1.1058,0.6546,m
-1.1109,0.3085,m
1.2339,0.4581,p
0.6979,1.0197,p
0.7386,0.1392,m
0.8098,1.9311,p
1.3421,-1.8045,m
-1.0139,-1.3613,p
-0.8357,-0.5069,m
0.469,1.9087,p
-1.574,0.6788,p
2.4309,1.309,m
0.3998,1.6799,m
-0.1071,-0.2322,m
-1.1936,-0.3278,m
1.392,-0.8716,m
0.9092,0.1179,p
1.8904,1.3433,m
-1.9618,-0.9417,m
-0.0949,-0.8207,p
-0.2678,0.7503,m
-0.1237,-1.2682,p
-1.926,-0.3147,m
0.4865,0.9908,p
-1.2068,1.2679,p
1.509,-1.1549,m
-1.1104,1.1031,p
1.6816,-0.3203,p
-0.6172,-0.4581,m
-0.0677,1.7359,p
-0.5989,-0.965,p
0.1758,1.2303,p
1.6978,1.2061,m
1.1638,-1.2427,m
0.6215,1.3202,m
-0.9568,0.848,m
-1.5538,0.1205,m
-1.365,-0.2134,m
0.5478,-0.9586,p
0.0017,0.2623,m
-1.4933,0.7963,p
-1.0021,-0.8849,p
0.3304,-1.4827,p
1.5277,0.228,p
0.1035,-1.0442,p
-0.8559,-0.6645,m
-0.5832,-1.3474,p
0.9392,-0.3513,m
0.0652,-0.7657,p
1.1615,-0.3567,m
-0.2946,0.5654,m
-0.7393,-0.066,m
-0.528,0.2964,m
1.7065,1.3936,m
1.2379,0.0024,p
0.0809,1.9267,m
-1.3345,0.8782,p
1.6556,0.239,p
-1.6178,-0.7116,m
0.02,-1.5433,p
0.6319,1.7398,p
1.165,0.446,p
-0.1774,-1.453,p
-1.1747,0.1256,m
-1.5333,1.205,p
0.2725,1.7889,p
-1.9524,-0.8998,m
-0.3909,0.1813,m
0.1399,-0.8,p
-0.3298,0.0829,m
-0.0083,1.7642,p
1.4676,-0.0839,p
-0.0939,1.6777,p
-1.0962,1.1634,p
-1.8347,-0.7459,m
0.0114,1.6606,p
-0.2124,-1.1801,p
-0.2082,-0.6461,m
-1.2606,0.2298,m
-0.7718,-1.3783,p
-0.5336,-1.4036,p
-1.3664,0.928,p
-0.559,0.0594,m
1.8926,0.834,m
0.3766,-0.6426,m
-0.433,-1.127,p
-1.3314,-0.2761,m
-0.6337,-0.9686,p
0.3205,0.3935,m
0.0984,0.6286,m
-1.5429,-0.6177,m
1.3676,1.4511,m
-0.9044,0.9529,p
0.8202,-0.5143,m
0.2716,1.823,m
1.2014,-0.6798,m
-0.5628,1.2944,p
-0.4781,-0.7965,p
0.2036,-1.0581,p
-1.6261,0.293,p
2.033,1.1047,m
-0.8152,1.1761,p
-1.7634,-1.1687,m
1.0881,-0.3835,m
-0.6537,-1.02,p
0.3151,-0.182,m
0.3031,-0.9403,p
0.275,-0.2021,m
1.9597,-0.7086,p
0.6825,1.0664,p
0.247,-1.2755,p
0.8742,-1.4105,m
-0.0082,-1.3772,p
0.2177,1.3219,p
-0.2919,1.3227,p
-0.357,-0.9445,p
-1.2091,-0.7325,m
0.2819,-0.761,m
0.1502,-0.256,m
0.2208,0.9457,m
-0.3991,1.3036,p
-1.6863,-0.1746,p
-0.2596,1.3635,p
-0.6581,0.5545,m
0.2988,1.5596,p
-1.6232,1.0244,p
-0.4533,-0.0737,m
-0.9317,-1.0224,p
1.4993,-0.9929,p
1.0116,1.5711,m
0.3411,-1.4284,p
1.9554,1.2819,m
-1.295,-0.2302,m
0.3547,0.5615,m
0.8729,-1.0287,m
0.7463,0.4407,p
0.2108,1.7055,m
-0.1091,-1.0672,p
-0.7066,-0.3782,m
-0.5339,1.1537,p
-1.3155,-0.088,m
-0.7561,-0.9434,p
0.0486,-0.3893,m
1.3256,-0.486,m
-2.3424,0.2456,p
-0.954,0.8483,p
0.9023,-1.0782,m
1.1472,1.6831,m
-1.3241,0.5165,m
0.9227,0.2455,p
-1.4213,0.6235,p
2.3433,1.6386,m
1.2666,0.4934,p
-0.5157,-0.9195,m
0.6355,0.5591,m
0.2442,1.4213,p
-0.4739,-0.9109,p
-1.4489,-0.7008,m
-1.0398,1.1924,p
0.6852,1.6909,p
0.4781,1.3091,m
0.4024,-0.3902,m
-0.8992,-1.3772,p
0.2055,-1.2805,p
-1.3484,-0.6883,m
-1.0137,-0.3632,m
1.1574,-0.4581,m
1.104,-0.3636,m
-0.305,0.1938,m
-1.6676,-0.2121,m
0.5269,-1.0202,p
-0.5287,-1.0244,p
0.0056,-1.144,p
1.2119,-0.7742,m
1.6175,-0.9192,p
-1.2445,1.1372,p
-0.0406,2.0917,p
0.0284,1.6193,p
-0.4973,-1.293,p
0.6238,0.6212,p
1.4545,1.333,m
0.5658,0.0815,m
-1.3304,-0.392,m
-0.6313,-0.9138,p
-1.3096,-1.1568,m
-1.2966,1.1603,p
1.0892,-1.5861,m
-0.5156,-0.9153,p
0.9231,0.9328,p
-0.6526,-0.7341,p
1.4579,-0.9102,m
0.3102,0.5699,m
-0.4218,-0.2407,m
-1.0343,0.2771,m
0.661,1.6935,p
0.4782,0.4602,m
1.2353,0.4412,p
-1.1748,0.1564,m
1.263,0.0903,p
0.2808,0.3435,m
1.0125,-0.2048,m
0.3211,0.2991,m
0.8377,-0.1154,m
-0.4209,-0.7306,p
0.9527,-1.2981,m
-1.6162,-1.1568,m
-1.5786,-0.7981,m
-0.8504,-0.92,p
1.0484,0.3967,p
-0.6447,-0.238,m
0.9182,1.7204,m
1.3967,0.5409,p
-1.0366,1.0428,p
0.8988,-0.2348,m
-1.7017,-0.5691,m
0.0343,-1.1793,p
0.1571,0.9561,p
-0.9008,-1.5593,p
-0.0681,-1.2364,p
1.1763,0.2039,p
1.3244,-0.1441,p
0.2249,1.341,p
-0.3961,1.2092,p
-0.3922,-1.2658,p
0.3182,1.3952,p
-1.4119,1.1088,p
1.7978,0.0607,p
0.1437,1.5618,p
-0.9178,1.4395,p
0.009,0.9282,m
-0.8908,-0.6168,m
-0.3556,-1.1597,p
-0.0744,-0.4627,m
-0.0547,-1.0584,p
-0.4911,-0.4292,m
-1.0051,-1.2855,p
1.2988,0.5551,p
0.5762,1.6998,m
1.0019,0.254,p
-0.1286,1.5689,p
-0.9023,-0.36,m
-0.4836,0.6148,m
-1.0726,0.5336,m
-0.3221,0.5345,m
0.137,1.9444,m
0.9414,1.4587,p
0.6414,1.7177,m
0.1011,-1.387,p
-1.0018,0.078,m
1.42,-0.697,m
0.9116,2.0953,p
0.8193,0.0462,m
-0.705,0.1293,m
-1.3318,0.8974,p
0.0224,1.4297,m
0.0941,1.4416,p
0.0285,1.7215,m
-0.8304,0.9925,p
-1.1467,-0.6468,m
-1.6609,-0.792,m
1.5026,-0.3796,p
-1.7515,0.7217,p
-0.4343,2.2394,p
-1.7598,-1.3321,m
0.0105,-1.2614,p
1.1468,0.5645,p
-1.1139,0.2758,m
-0.0305,-1.094,p
0.0647,-1.2166,p
-0.8756,-1.0025,p
-0.0439,0.3053,m
-0.4631,-1.0051,p
-0.2914,-0.8584,p
0.8467,-0.6096,m
-0.1044,0.4801,m
0.7598,-1.162,m
-0.9797,-1.4864,p
-0.1784,-1.1498,p
0.6133,-0.2108,m
-0.2201,-1.1175,p
-1.3918,-0.9428,m
1.2529,-0.322,p
-1.4331,-0.546,m
-0.3221,-0.3555,m
0.1603,-1.4048,p
2.1113,0.9419,m
-1.1866,-0.6379,m
0.4718,1.3705,p
-0.6289,0.8086,m
-0.0263,-1.3466,p
-0.8384,0.3562,m
-1.0716,-0.6216,m
-1.5955,-1.4353,m
0.0981,0.4646,m
1.3251,1.6266,m
-0.8437,0.3708,m
-0.1578,-1.0837,p
0.535,1.4592,m
-1.9318,0.5253,p
-1.2077,-0.7847,m
0.726,0.2885,p
-0.5472,1.7056,p
-0.6827,1.3762,p
-0.1218,-1.1422,p
0.5133,0.7411,p
-2.1691,-0.5229,m
0.1708,-0.5022,m
0.8669,0.8099,p
-0.8588,0.8853,p
-1.096,0.135,m
0.3637,-0.2694,m
0.6242,-1.3072,p
-0.6042,-1.2049,p
1.943,-0.6497,p
0.5269,0.5098,m
1.0775,0.0163,p
-0.6994,0.7549,p
-1.0468,0.9662,p
1.2456,0.5554,p
-1.2325,0.8896,p
0.1209,1.7223,p
1.29,0.0437,p
-2.3212,0.0861,p
-1.121,-1.1976,p
-0.9735,-0.047,m
-1.589,0.7629,p
-0.6929,1.2823,p
-2.7678,0.0962,p
-0.7667,-1.2977,p
2.341,1.1631,m
-1.6778,-0.5098,m
-1.3256,0.0398,m
-1.7696,-0.5921,m
1.01,-0.4367,m
-0.6761,0.7967,p
1.1444,-0.0771,p
-1.4816,0.9436,p
0.3006,2.0132,p
2.34,-1.2546,p
1.1485,1.4851,m
1.544,1.7522,m
1.3904,-0.2184,p
-0.6869,-1.2851,p
0.5047,1.4472,p
1.0191,-0.5492,m
-1.063,0.6652,p
-0.383,-1.0432,p
-1.1444,0.3042,m
1.2715,1.6016,m
1.0631,-0.0531,m
0.2766,-0.3242,m
1.8789,-0.1409,p
-0.473,-1.5487,p
0.8389,-1.1518,m
-0.0699,-1.2021,p
-1.5151,-0.9927,m
-1.3231,0.907,p
1.1834,0.5971,p
1.053,-2.0781,m
-0.157,1.8431,p
1.0403,0.5627,p
-0.7089,-0.262,m
0.0529,1.5205,p
-1.7408,-1.8327,m
-1.867,-1.2596,m
0.8162,0.306,m
-0.0895,1.6478,m
-0.9222,0.5334,p
1.6863,-0.7235,p
-0.051,-0.972,p
1.2475,-1.2533,m
-1.3832,0.0973,m
1.0147,-1.0536,m
0.3166,-1.1335,p
-0.5764,-0.4627,m
-0.9511,-1.3305,p
0.3987,-1.4771,p
0.7159,0.4871,p
-1.0228,0.4086,m
1.0375,0.779,p
0.1557,0.1524,m
1.2414,-1.3303,m
0.9613,-1.3303,m
-0.8803,0.4067,m
-0.7314,-0.9062,p
1.9716,0.041,p
0.0886,-0.8443,p
1.7098,-0.044,p
-0.6831,0.4191,m
1.196,0.3608,p
0.0114,-1.4562,p
0.3617,1.5919,p
-0.9675,0.3482,m
0.6825,-0.1458,p
1.3391,0.0998,p
-0.8565,-1.3066,p
-0.4557,1.5484,p
1.7178,0.0291,p
0.897,0.7424,p
-1.4864,0.7438,p
-0.9836,1.0268,p
0.1045,1.7651,p
1.3083,-1.8064,m
0.9897,-0.0762,m
-0.5655,-0.0822,m
0.6034,1.8028,m
0.2597,-1.1745,p
-0.4393,0.3308,m
-1.5671,0.6286,p
1.0391,-1.1311,m
1.2491,0.7939,p
1.013,0.6767,p
-0.0281,-0.3234,m
0.0604,1.6438,p
-1.3045,-1.166,m
1.324,-1.4763,m
1.1067,0.6846,p
-0.3356,0.1823,m
0.295,-0.2735,m
-0.058,-0.904,p
0.3502,0.8889,p
1.211,-1.0206,m
-0.1126,-0.197,m
0.0066,-0.9938,p
0.9728,0.4565,p
0.6392,-0.8153,p
0.4843,1.0407,p
0.8012,1.136,p
0.7784,0.9516,p
-1.2433,-0.3518,m
-0.149,0.8155,m
-1.3932,0.862,p
-1.5753,0.2724,p
0.1691,1.8634,m
-0.2379,-1.4919,p
0.1526,-0.8747,m
-0.6207,1.5244,p
0.1428,-1.5578,p
1.4542,-1.7756,m
-0.6465,1.0788,p
1.2389,0.3417,p
1.7202,-0.2587,p
-0.1366,1.4359,p
-0.9925,-0.0156,m
-0.9577,0.536,p
-0.4286,1.1262,p
-1.4309,0.0281,m
-0.5658,-1.6208,p
0.8375,1.7479,m
0.0219,-0.3878,m
-1.4594,-0.1081,m
1.1865,0.9973,p
1.203,1.5407,m
0.8238,-0.6725,m
0.7631,1.1512,p
-0.7137,-0.1609,m
0.1492,1.9786,p
1.4583,-1.6146,m
0.9553,-0.2296,m
0.8331,-0.5926,m
-0.7325,-1.338,p
0.991,0.594,p
-0.8142,0.2299,m
0.3872,1.5897,m
-0.7224,1.1901,p
0.252,-0.389,m
1.9434,1.2497,m
1.5439,-0.2602,p
0.2125,1.8068,p
-0.2411,-0.3741,m
0.0598,-1.2624,p
-0.8272,1.2308,p
1.4798,1.7762,m
0.7348,1.6289,m
0.8859,-0.2923,m
-1.0136,-1.4662,p
0.9954,-1.6334,m
0.7444,1.4188,m
1.3513,-0.3865,m
0.9728,0.6533,p
1.4412,0.3577,p
-1.1697,-0.073,m
1.9849,0.4168,p
0.4084,1.1562,p
1.0508,-0.4666,m
-0.7684,0.2093,m
0.2974,-1.1116,m
0.9407,1.16,p
-0.6137,-1.2179,p
-0.9276,1.5491,p
-0.5788,-0.7482,m
-1.362,0.9756,p
0.7205,-0.1537,m
-0.9784,-1.0514,m
-0.3366,0.5594,m
1.0403,-1.1743,m
-1.0603,-0.9367,p
-1.2335,-0.7027,m
-1.7335,0.5622,p
-1.0326,0.6544,p
0.4224,-0.9341,m
-0.4662,-0.8507,p
-0.707,-0.5679,m
-1.0088,0.3566,m
0.6139,-1.4649,p
-0.2983,-1.2554,p
0.8033,1.3546,p
-0.9614,-0.102,m
1.0805,1.0339,p
1.1982,0.0691,p
0.8462,1.8684,p
-0.295,-1.2243,p
-1.0347,-0.8584,m
0.6557,1.2454,p
0.0734,-0.1621,m
0.2005,-0.609,m
-1.5395,0.6427,p
-0.5065,1.2405,p
-0.9867,-0.8629,m
-1.827,0.3786,p
-0.4548,0.8682,p
0.3028,-1.3539,p
1.1785,0.392,p
1.3766,0.5831,p
0.6274,0.2343,p
-1.0714,-0.6161,m
0.2871,1.4509,m
0.3286,-0.3703,m
0.9215,0.3,p
-1.4908,0.2278,m
-0.0267,-1.0934,p
0.9304,-0.3749,m
0.5179,1.7036,p
0.7735,0.6167,p
-2.062,-1.2301,m
-0.7149,0.0859,m
0.378,-0.5599,m
-1.8044,0.5291,p
0.0428,-1.043,p
-0.8787,-0.9754,p
-1.6176,-1.8497,m
-0.0508,-1.1859,p
-0.2422,-1.4697,p
-0.5954,0.6249,m
1.0451,-0.9596,m
-1.1996,-0.4506,m
-1.3983,1.1942,p
-0.0272,1.8639,m
-1.4179,-1.2844,m
-0.6872,-0.4577,m
-0.4285,-0.5089,m
0.148,1.2633,p
-0.1229,-1.0679,p
-1.5529,-1.0165,m
-0.3018,-1.2203,p
-1.9478,0.6142,p
0.8106,0.0091,m
-0.5546,-1.0169,p
0.1891,1.3524,p
-1.1458,0.4058,m
0.4128,-1.3015,p
0.6104,0.4883,p
-0.2823,1.7824,m
-1.0117,0.7677,p
-0.9682,-0.9116,p
1.2562,-0.9117,m
0.44,0.9002,p
-0.8193,-1.2075,p
1.4025,-1.1277,m
1.0078,1.8211,m
-0.4,0.0046,m
0.7071,1.3724,p
0.9777,-1.3276,m
-0.2136,1.7559,p
-0.8204,-0.7596,m
0.1264,-1.0803,p
-1.8216,0.9036,p
-0.6184,-1.1953,p
-1.8741,-1.0988,m
-0.121,-1.0487,p
0.3858,1.915,p
1.1818,0.08,p
-0.5204,1.2026,p
0.9223,0.9297,p
1.0488,0.7682,p
-0.2548,0.3866,m
-0.2952,-1.2718,p
-0.5388,-1.2103,p
0.0586,-0.1333,m
0.714,-1.1933,m
-0.4874,-1.1324,p
-1.3737,0.8077,p
1.1157,1.0073,p
0.8802,0.2747,p
0.9425,1.8874,m
-0.4916,0.1241,m
0.5006,0.0251,m
-0.8529,0.3581,m
-1.2009,-0.2485,m
-1.0156,-0.0308,m
-0.2693,-1.4686,p
-0.7484,-0.034,m
0.3182,-0.8698,p
1.6382,1.4626,m
0.8265,1.4985,m
0.8418,-0.3718,m
0.6395,1.1967,p
-0.8035,1.2489,p
-0.4865,-1.6192,p
-0.4181,-1.2567,p
-0.93,-0.5024,m
-0.4492,1.041,p
0.8331,-0.2544,m
1.5202,0.4094,p
-0.8633,0.4963,m
2.1699,1.2365,m
1.1769,0.424,p
-1.2902,1.5245,p
0.9961,0.2247,p
0.8981,-0.719,m
0.9605,-0.9001,m
0.712,0.8371,p
0.0966,-1.0642,p
0.1201,-1.1176,p
1.1794,0.585,p
0.1598,0.1886,m
-0.9323,-1.1482,p
-0.6283,0.6013,m
-0.495,-1.1996,p
-0.973,0.7118,p
0.7279,0.752,p
-1.5517,0.3785,p
-0.7042,1.4604,p
2.2929,1.3169,m
-0.2112,-0.6367,p
-1.074,-0.306,m
0.188,1.5871,m
-0.9291,-1.3868,p
-0.1511,1.6624,p
-0.9899,0.2311,m
-0.0773,-1.2189,p
0.7496,1.9191,m
0.7239,0.4169,p
-1.3906,-0.1184,m
-0.1663,0.1653,m
0.2732,1.6752,p
-0.72,0.189,m
1.3301,1.4198,m
0.299,1.4941,p
-1.8238,-0.665,m
-1.494,0.738,p
0.7637,-0.8043,m
1.2302,-1.5478,m
0.0558,1.8751,p
0.7851,0.173,p
-0.9356,-1.5002,p
0.3735,1.4779,p
-2.1905,-1.3004,m
-1.4026,0.2468,m
-2.0215,-0.7918,m
1.4269,-0.8163,m
-1.6731,0.6721,p
0.3535,-1.1884,p
-1.3319,0.7189,p
-0.1029,-1.7141,p
1.1323,0.3303,p
-0.1699,-0.3459,m
-0.4903,-1.4531,p
1.1502,0.7153,p
-0.2129,0.2588,m
-0.7913,-1.4287,p
-0.3004,-1.0363,p
-0.0192,-1.0331,p
0.0744,1.0373,p
1.0665,0.0877,p
-0.0269,0.9579,m
0.839,-0.0819,m
0.9016,0.9465,p
0.737,-0.1831,m
-0.6689,0.5097,m
-0.4149,1.484,p
-0.2489,0.5049,m
0.4704,1.2097,p
-0.0237,0.3029,m
1.1566,-1.2981,m
0.6717,1.5721,p
-2.1062,-1.5087,m
-0.31,-1.3762,p
-0.4573,-0.9825,p
0.4069,-0.9397,p
-0.3016,-0.1157,m
0.5542,1.188,p
-1.1951,0.6589,p
0.0043,1.6062,p
1.1457,0.3292,p
1.2198,1.3458,p
-0.0012,-0.9385,m
0.2486,-0.4505,m
-0.2757,1.0514,p
0.4882,1.3132,p
1.9535,0.9021,m
1.2008,0.2858,p
-1.8406,-0.8653,m
-1.5049,0.2824,m
-0.1449,1.6488,p
-1.4641,1.1124,p
-1.1329,-1.0603,p
1.0681,1.5325,p
0.1658,-0.3299,m
0.1446,-0.4147,m
-1.3657,0.6445,p
0.4285,-0.4939,m
-0.4105,-1.4073,p
1.3503,-1.5074,m
-1.073,-0.017,m
-1.6364,-1.7961,m
-0.836,-1.3566,p
0.1174,-1.0688,p
-0.9141,0.4246,m
-0.0461,1.6486,p
1.5593,-0.3673,m
0.0533,-1.0184,p
1.6108,-0.3868,p
-0.463,-1.1982,p
-1.1505,-0.0498,m
-0.1381,-1.0289,p
2.0717,1.3656,m
0.9976,0.3702,p
-2.0291,0.3591,p
-1.1584,0.3812,p
0.1632,-1.3149,p
-0.5294,-1.2175,p
-1.8908,-1.696,m
1.2857,-0.1205,p
-1.4736,-0.2124,m
0.7942,0.7623,p
-1.0055,0.4124,m
0.6238,1.1013,p
0.4336,2.1941,p
-0.6471,-1.2185,p
0.4076,0.0673,m
1.0549,0.8988,p
-1.3189,1.0981,p
0.5773,0.6275,p
0.3076,-0.9128,p
